,NEWCollabToolsWorkedWith,Confluence,Jira,Slack,Microsoft Azure,Trello,Github,Gitlab,"Google Suite (Docs, Meet, etc)",Microsoft Teams,Stack Overflow for Teams,Facebook Workplace
10012,"Github;Google Suite (Docs, Meet, etc);Stack Overflow for Teams",0,0,0,0,0,1,0,1,0,1,0
10013,Jira;Slack;Trello,0,1,1,0,1,0,0,0,0,0,0
10014,Confluence;Jira;Github;Gitlab;Microsoft Teams,1,1,0,0,0,1,1,0,1,0,0
10015,Confluence;Github;Slack;Microsoft Teams;Microsoft Azure;Trello,1,0,1,1,1,1,0,0,1,0,0
10016,"Jira;Github;Gitlab;Slack;Trello;Google Suite (Docs, Meet, etc)",0,1,1,0,1,1,1,1,0,0,0
10017,Github;Gitlab,0,0,0,0,0,1,1,0,0,0,0
10018,"Jira;Github;Slack;Trello;Google Suite (Docs, Meet, etc)",0,1,1,0,1,1,0,1,0,0,0
10019,"Confluence;Jira;Github;Gitlab;Slack;Trello;Google Suite (Docs, Meet, etc)",1,1,1,0,1,1,1,1,0,0,0
10020,Github,0,0,0,0,0,1,0,0,0,0,0
10021,,0,0,0,0,0,0,0,0,0,0,0
10022,Github,0,0,0,0,0,1,0,0,0,0,0
10023,Github;Slack;Trello,0,0,1,0,1,1,0,0,0,0,0
10024,Github,0,0,0,0,0,1,0,0,0,0,0
10025,Github;Slack;Trello,0,0,1,0,1,1,0,0,0,0,0
10026,Github;Slack,0,0,1,0,0,1,0,0,0,0,0
10027,Jira;Github,0,1,0,0,0,1,0,0,0,0,0
10028,,0,0,0,0,0,0,0,0,0,0,0
10029,,0,0,0,0,0,0,0,0,0,0,0
10030,"Facebook Workplace;Google Suite (Docs, Meet, etc)",0,0,0,0,0,0,0,1,0,0,1
10031,,0,0,0,0,0,0,0,0,0,0,0
10032,Github;Slack;Trello,0,0,1,0,1,1,0,0,0,0,0
10033,Github,0,0,0,0,0,1,0,0,0,0,0
10034,"Jira;Github;Gitlab;Slack;Microsoft Azure;Google Suite (Docs, Meet, etc);Stack Overflow for Teams",0,1,1,1,0,1,1,1,0,1,0
10035,"Jira;Github;Gitlab;Slack;Microsoft Teams;Google Suite (Docs, Meet, etc)",0,1,1,0,0,1,1,1,1,0,0
10036,"Confluence;Jira;Github;Slack;Trello;Google Suite (Docs, Meet, etc)",1,1,1,0,1,1,0,1,0,0,0
10037,Github,0,0,0,0,0,1,0,0,0,0,0
10038,Github,0,0,0,0,0,1,0,0,0,0,0
10039,"Confluence;Jira;Gitlab;Slack;Google Suite (Docs, Meet, etc)",1,1,1,0,0,0,1,1,0,0,0
10040,Jira;Slack,0,1,1,0,0,0,0,0,0,0,0
10041,Confluence;Jira;Github,1,1,0,0,0,1,0,0,0,0,0
10042,Jira;Microsoft Teams,0,1,0,0,0,0,0,0,1,0,0
10043,Github;Gitlab;Slack;Trello,0,0,1,0,1,1,1,0,0,0,0
10044,"Github;Slack;Trello;Google Suite (Docs, Meet, etc)",0,0,1,0,1,1,0,1,0,0,0
10045,"Jira;Github;Slack;Google Suite (Docs, Meet, etc)",0,1,1,0,0,1,0,1,0,0,0
10046,Gitlab,0,0,0,0,0,0,1,0,0,0,0
10047,Github;Stack Overflow for Teams,0,0,0,0,0,1,0,0,0,1,0
10048,"Github;Gitlab;Slack;Microsoft Teams;Microsoft Azure;Trello;Google Suite (Docs, Meet, etc)",0,0,1,1,1,1,1,1,1,0,0
10049,"Confluence;Jira;Github;Slack;Google Suite (Docs, Meet, etc)",1,1,1,0,0,1,0,1,0,0,0
10050,"Github;Gitlab;Slack;Trello;Google Suite (Docs, Meet, etc)",0,0,1,0,1,1,1,1,0,0,0
10051,Github;Stack Overflow for Teams,0,0,0,0,0,1,0,0,0,1,0
10052,"Confluence;Microsoft Teams;Microsoft Azure;Google Suite (Docs, Meet, etc)",1,0,0,1,0,0,0,1,1,0,0
10053,Jira;Github,0,1,0,0,0,1,0,0,0,0,0
10054,Confluence;Jira;Github;Gitlab;Slack;Microsoft Teams;Microsoft Azure,1,1,1,1,0,1,1,0,1,0,0
10055,"Github;Google Suite (Docs, Meet, etc);Stack Overflow for Teams",0,0,0,0,0,1,0,1,0,1,0
10056,Confluence;Jira;Github;Slack;Microsoft Teams;Microsoft Azure,1,1,1,1,0,1,0,0,1,0,0
10057,"Github;Slack;Trello;Google Suite (Docs, Meet, etc)",0,0,1,0,1,1,0,1,0,0,0
10058,"Confluence;Jira;Github;Slack;Google Suite (Docs, Meet, etc)",1,1,1,0,0,1,0,1,0,0,0
10059,"Confluence;Jira;Github;Slack;Google Suite (Docs, Meet, etc)",1,1,1,0,0,1,0,1,0,0,0
10060,"Jira;Github;Gitlab;Google Suite (Docs, Meet, etc)",0,1,0,0,0,1,1,1,0,0,0
10061,Confluence;Jira;Github;Slack;Microsoft Azure,1,1,1,1,0,1,0,0,0,0,0
10062,"Confluence;Jira;Github;Slack;Trello;Google Suite (Docs, Meet, etc)",1,1,1,0,1,1,0,1,0,0,0
10063,Jira;Github;Gitlab,0,1,0,0,0,1,1,0,0,0,0
10064,Github;Gitlab;Slack;Microsoft Teams;Trello,0,0,1,0,1,1,1,0,1,0,0
10065,"Github;Gitlab;Trello;Google Suite (Docs, Meet, etc)",0,0,0,0,1,1,1,1,0,0,0
10066,Github;Gitlab;Slack,0,0,1,0,0,1,1,0,0,0,0
10067,"Github;Google Suite (Docs, Meet, etc)",0,0,0,0,0,1,0,1,0,0,0
10068,Confluence;Jira;Github;Slack;Trello,1,1,1,0,1,1,0,0,0,0,0
10069,Github;Gitlab;Facebook Workplace;Slack;Microsoft Azure,0,0,1,1,0,1,1,0,0,0,1
10070,Confluence;Slack;Microsoft Teams,1,0,1,0,0,0,0,0,1,0,0
10071,Github,0,0,0,0,0,1,0,0,0,0,0
10072,Confluence;Github;Slack,1,0,1,0,0,1,0,0,0,0,0
10073,,0,0,0,0,0,0,0,0,0,0,0
10074,Github;Slack;Trello,0,0,1,0,1,1,0,0,0,0,0
10075,"Confluence;Jira;Github;Google Suite (Docs, Meet, etc);Stack Overflow for Teams",1,1,0,0,0,1,0,1,0,1,0
10076,Github;Slack,0,0,1,0,0,1,0,0,0,0,0
10077,Jira;Github;Slack;Trello,0,1,1,0,1,1,0,0,0,0,0
10078,"Confluence;Jira;Github;Gitlab;Slack;Trello;Google Suite (Docs, Meet, etc)",1,1,1,0,1,1,1,1,0,0,0
10079,"Jira;Github;Slack;Microsoft Teams;Google Suite (Docs, Meet, etc)",0,1,1,0,0,1,0,1,1,0,0
10080,"Github;Slack;Trello;Google Suite (Docs, Meet, etc)",0,0,1,0,1,1,0,1,0,0,0
10081,"Github;Trello;Google Suite (Docs, Meet, etc)",0,0,0,0,1,1,0,1,0,0,0
10082,"Confluence;Jira;Github;Slack;Google Suite (Docs, Meet, etc)",1,1,1,0,0,1,0,1,0,0,0
10083,Github,0,0,0,0,0,1,0,0,0,0,0
10084,Github;Slack,0,0,1,0,0,1,0,0,0,0,0
10085,Confluence;Jira,1,1,0,0,0,0,0,0,0,0,0
10086,Github;Slack,0,0,1,0,0,1,0,0,0,0,0
10087,"Jira;Github;Facebook Workplace;Slack;Google Suite (Docs, Meet, etc)",0,1,1,0,0,1,0,1,0,0,1
10088,Gitlab;Facebook Workplace;Stack Overflow for Teams,0,0,0,0,0,0,1,0,0,1,1
10089,"Github;Slack;Google Suite (Docs, Meet, etc)",0,0,1,0,0,1,0,1,0,0,0
10090,"Github;Slack;Microsoft Azure;Google Suite (Docs, Meet, etc)",0,0,1,1,0,1,0,1,0,0,0
10091,Github;Slack,0,0,1,0,0,1,0,0,0,0,0
10092,Github,0,0,0,0,0,1,0,0,0,0,0
10093,"Jira;Github;Gitlab;Google Suite (Docs, Meet, etc)",0,1,0,0,0,1,1,1,0,0,0
10094,,0,0,0,0,0,0,0,0,0,0,0
10095,,0,0,0,0,0,0,0,0,0,0,0
10096,"Github;Microsoft Teams;Google Suite (Docs, Meet, etc)",0,0,0,0,0,1,0,1,1,0,0
10097,Github;Microsoft Azure,0,0,0,1,0,1,0,0,0,0,0
10098,"Github;Google Suite (Docs, Meet, etc)",0,0,0,0,0,1,0,1,0,0,0
10099,Github;Gitlab,0,0,0,0,0,1,1,0,0,0,0
10100,Github;Trello,0,0,0,0,1,1,0,0,0,0,0
10101,"Jira;Github;Gitlab;Trello;Google Suite (Docs, Meet, etc)",0,1,0,0,1,1,1,1,0,0,0
10102,"Confluence;Jira;Github;Slack;Microsoft Teams;Trello;Google Suite (Docs, Meet, etc)",1,1,1,0,1,1,0,1,1,0,0
10103,Confluence;Jira;Github;Slack,1,1,1,0,0,1,0,0,0,0,0
10104,Github;Microsoft Teams;Microsoft Azure,0,0,0,1,0,1,0,0,1,0,0
10105,Github;Slack;Microsoft Teams;Microsoft Azure,0,0,1,1,0,1,0,0,1,0,0
10106,"Github;Slack;Trello;Google Suite (Docs, Meet, etc)",0,0,1,0,1,1,0,1,0,0,0
10107,Github;Gitlab;Slack,0,0,1,0,0,1,1,0,0,0,0
10108,"Github;Google Suite (Docs, Meet, etc)",0,0,0,0,0,1,0,1,0,0,0
10109,Jira;Slack;Microsoft Teams,0,1,1,0,0,0,0,0,1,0,0
10110,"Confluence;Jira;Github;Slack;Trello;Google Suite (Docs, Meet, etc)",1,1,1,0,1,1,0,1,0,0,0
10111,Jira;Github;Gitlab;Trello,0,1,0,0,1,1,1,0,0,0,0
10112,Gitlab,0,0,0,0,0,0,1,0,0,0,0
10113,"Jira;Github;Trello;Google Suite (Docs, Meet, etc)",0,1,0,0,1,1,0,1,0,0,0
10114,,0,0,0,0,0,0,0,0,0,0,0
10115,Github;Gitlab;Microsoft Teams;Microsoft Azure;Stack Overflow for Teams,0,0,0,1,0,1,1,0,1,1,0
10116,Confluence;Jira;Microsoft Teams;Microsoft Azure;Trello,1,1,0,1,1,0,0,0,1,0,0
10117,Jira;Github;Slack;Trello,0,1,1,0,1,1,0,0,0,0,0
10118,Microsoft Teams,0,0,0,0,0,0,0,0,1,0,0
10119,Confluence;Slack;Microsoft Teams;Microsoft Azure,1,0,1,1,0,0,0,0,1,0,0
10120,Confluence;Jira;Slack,1,1,1,0,0,0,0,0,0,0,0
10121,Confluence;Jira;Github;Gitlab,1,1,0,0,0,1,1,0,0,0,0
10122,Github;Gitlab,0,0,0,0,0,1,1,0,0,0,0
10123,"Github;Gitlab;Slack;Microsoft Azure;Trello;Google Suite (Docs, Meet, etc)",0,0,1,1,1,1,1,1,0,0,0
10124,Github,0,0,0,0,0,1,0,0,0,0,0
10125,"Github;Google Suite (Docs, Meet, etc)",0,0,0,0,0,1,0,1,0,0,0
10126,"Jira;Github;Gitlab;Trello;Google Suite (Docs, Meet, etc)",0,1,0,0,1,1,1,1,0,0,0
10127,"Github;Slack;Google Suite (Docs, Meet, etc)",0,0,1,0,0,1,0,1,0,0,0
10128,Microsoft Azure,0,0,0,1,0,0,0,0,0,0,0
10129,Github;Slack,0,0,1,0,0,1,0,0,0,0,0
10130,Jira;Slack;Microsoft Azure,0,1,1,1,0,0,0,0,0,0,0
10131,Confluence;Jira;Github;Gitlab;Slack;Microsoft Teams,1,1,1,0,0,1,1,0,1,0,0
10132,"Jira;Github;Gitlab;Slack;Microsoft Azure;Trello;Google Suite (Docs, Meet, etc)",0,1,1,1,1,1,1,1,0,0,0
10133,Confluence;Slack,1,0,1,0,0,0,0,0,0,0,0
10134,"Github;Microsoft Azure;Google Suite (Docs, Meet, etc)",0,0,0,1,0,1,0,1,0,0,0
10135,Confluence;Jira;Microsoft Azure;Trello,1,1,0,1,1,0,0,0,0,0,0
10136,Jira;Github;Slack,0,1,1,0,0,1,0,0,0,0,0
10137,Confluence;Github;Gitlab;Slack,1,0,1,0,0,1,1,0,0,0,0
10138,Github,0,0,0,0,0,1,0,0,0,0,0
10139,Github;Slack;Trello,0,0,1,0,1,1,0,0,0,0,0
10140,Github;Gitlab,0,0,0,0,0,1,1,0,0,0,0
10141,Confluence;Jira;Github;Slack;Microsoft Teams;Trello,1,1,1,0,1,1,0,0,1,0,0
10142,"Jira;Github;Gitlab;Slack;Trello;Google Suite (Docs, Meet, etc)",0,1,1,0,1,1,1,1,0,0,0
10143,"Jira;Github;Slack;Google Suite (Docs, Meet, etc)",0,1,1,0,0,1,0,1,0,0,0
10144,"Github;Slack;Trello;Google Suite (Docs, Meet, etc);Stack Overflow for Teams",0,0,1,0,1,1,0,1,0,1,0
10145,"Github;Google Suite (Docs, Meet, etc)",0,0,0,0,0,1,0,1,0,0,0
10146,Github,0,0,0,0,0,1,0,0,0,0,0
10147,"Github;Gitlab;Facebook Workplace;Slack;Trello;Google Suite (Docs, Meet, etc)",0,0,1,0,1,1,1,1,0,0,1
10148,"Github;Slack;Trello;Google Suite (Docs, Meet, etc)",0,0,1,0,1,1,0,1,0,0,0
10149,Github;Gitlab;Slack,0,0,1,0,0,1,1,0,0,0,0
10150,Github;Gitlab;Slack;Trello,0,0,1,0,1,1,1,0,0,0,0
10151,Github,0,0,0,0,0,1,0,0,0,0,0
10152,"Jira;Github;Slack;Google Suite (Docs, Meet, etc)",0,1,1,0,0,1,0,1,0,0,0
10153,Slack,0,0,1,0,0,0,0,0,0,0,0
10154,"Github;Google Suite (Docs, Meet, etc)",0,0,0,0,0,1,0,1,0,0,0
10155,"Github;Slack;Trello;Google Suite (Docs, Meet, etc)",0,0,1,0,1,1,0,1,0,0,0
10156,Jira;Github;Gitlab,0,1,0,0,0,1,1,0,0,0,0
10157,Confluence;Jira;Github;Gitlab;Slack,1,1,1,0,0,1,1,0,0,0,0
10158,Jira;Github;Gitlab,0,1,0,0,0,1,1,0,0,0,0
10159,"Github;Slack;Google Suite (Docs, Meet, etc)",0,0,1,0,0,1,0,1,0,0,0
10160,Jira;Github,0,1,0,0,0,1,0,0,0,0,0
10161,Github;Gitlab;Slack;Microsoft Teams,0,0,1,0,0,1,1,0,1,0,0
10162,Github;Gitlab,0,0,0,0,0,1,1,0,0,0,0
10163,,0,0,0,0,0,0,0,0,0,0,0
10164,Confluence;Jira;Github;Gitlab;Microsoft Teams;Microsoft Azure,1,1,0,1,0,1,1,0,1,0,0
10165,"Github;Microsoft Azure;Google Suite (Docs, Meet, etc)",0,0,0,1,0,1,0,1,0,0,0
10166,Github;Slack,0,0,1,0,0,1,0,0,0,0,0
10167,"Jira;Github;Gitlab;Slack;Google Suite (Docs, Meet, etc)",0,1,1,0,0,1,1,1,0,0,0
10168,Jira;Github,0,1,0,0,0,1,0,0,0,0,0
10169,"Gitlab;Google Suite (Docs, Meet, etc)",0,0,0,0,0,0,1,1,0,0,0
10170,Confluence;Jira;Github;Slack,1,1,1,0,0,1,0,0,0,0,0
10171,Confluence;Jira;Github;Gitlab,1,1,0,0,0,1,1,0,0,0,0
10172,,0,0,0,0,0,0,0,0,0,0,0
10173,Github;Gitlab,0,0,0,0,0,1,1,0,0,0,0
10174,"Github;Google Suite (Docs, Meet, etc)",0,0,0,0,0,1,0,1,0,0,0
10175,,0,0,0,0,0,0,0,0,0,0,0
10176,Confluence;Jira;Github;Gitlab,1,1,0,0,0,1,1,0,0,0,0
10177,"Confluence;Jira;Github;Microsoft Teams;Trello;Google Suite (Docs, Meet, etc)",1,1,0,0,1,1,0,1,1,0,0
10178,Github;Slack,0,0,1,0,0,1,0,0,0,0,0
10179,Confluence;Jira;Github;Gitlab;Microsoft Teams,1,1,0,0,0,1,1,0,1,0,0
10180,Github,0,0,0,0,0,1,0,0,0,0,0
10181,Github;Gitlab;Microsoft Teams;Microsoft Azure,0,0,0,1,0,1,1,0,1,0,0
10182,Github;Gitlab;Microsoft Teams;Microsoft Azure,0,0,0,1,0,1,1,0,1,0,0
10183,"Jira;Github;Slack;Trello;Google Suite (Docs, Meet, etc)",0,1,1,0,1,1,0,1,0,0,0
10184,"Github;Google Suite (Docs, Meet, etc)",0,0,0,0,0,1,0,1,0,0,0
10185,Github;Gitlab;Stack Overflow for Teams,0,0,0,0,0,1,1,0,0,1,0
10186,Confluence;Jira;Github;Gitlab,1,1,0,0,0,1,1,0,0,0,0
10187,Github,0,0,0,0,0,1,0,0,0,0,0
10188,Github;Microsoft Teams,0,0,0,0,0,1,0,0,1,0,0
10189,"Gitlab;Trello;Google Suite (Docs, Meet, etc)",0,0,0,0,1,0,1,1,0,0,0
10190,Github;Gitlab;Slack,0,0,1,0,0,1,1,0,0,0,0
10191,"Confluence;Jira;Github;Slack;Trello;Google Suite (Docs, Meet, etc)",1,1,1,0,1,1,0,1,0,0,0
10192,Github,0,0,0,0,0,1,0,0,0,0,0
10193,Github;Microsoft Teams;Microsoft Azure;Trello,0,0,0,1,1,1,0,0,1,0,0
10194,Github,0,0,0,0,0,1,0,0,0,0,0
10195,Github;Slack;Trello;Stack Overflow for Teams,0,0,1,0,1,1,0,0,0,1,0
10196,Confluence;Jira;Github;Gitlab;Slack,1,1,1,0,0,1,1,0,0,0,0
10197,"Jira;Github;Slack;Trello;Google Suite (Docs, Meet, etc);Stack Overflow for Teams",0,1,1,0,1,1,0,1,0,1,0
10198,,0,0,0,0,0,0,0,0,0,0,0
10199,Confluence;Microsoft Teams,1,0,0,0,0,0,0,0,1,0,0
10200,Github;Facebook Workplace;Microsoft Teams;Microsoft Azure,0,0,0,1,0,1,0,0,1,0,1
10201,Microsoft Teams,0,0,0,0,0,0,0,0,1,0,0
10202,"Jira;Github;Slack;Google Suite (Docs, Meet, etc)",0,1,1,0,0,1,0,1,0,0,0
10203,Jira;Github;Gitlab;Slack;Trello,0,1,1,0,1,1,1,0,0,0,0
10204,Github,0,0,0,0,0,1,0,0,0,0,0
10205,"Jira;Gitlab;Google Suite (Docs, Meet, etc)",0,1,0,0,0,0,1,1,0,0,0
10206,Jira;Github;Facebook Workplace;Microsoft Teams,0,1,0,0,0,1,0,0,1,0,1
10207,Jira,0,1,0,0,0,0,0,0,0,0,0
10208,Slack;Microsoft Teams,0,0,1,0,0,0,0,0,1,0,0
10209,"Confluence;Jira;Github;Slack;Microsoft Teams;Microsoft Azure;Google Suite (Docs, Meet, etc)",1,1,1,1,0,1,0,1,1,0,0
10210,Jira;Github;Gitlab,0,1,0,0,0,1,1,0,0,0,0
10211,Github;Trello,0,0,0,0,1,1,0,0,0,0,0
10212,"Github;Gitlab;Slack;Google Suite (Docs, Meet, etc)",0,0,1,0,0,1,1,1,0,0,0
10213,Microsoft Teams,0,0,0,0,0,0,0,0,1,0,0
10214,Github;Trello;Stack Overflow for Teams,0,0,0,0,1,1,0,0,0,1,0
10215,Jira;Github;Trello,0,1,0,0,1,1,0,0,0,0,0
10216,"Google Suite (Docs, Meet, etc)",0,0,0,0,0,0,0,1,0,0,0
10217,Github;Microsoft Azure,0,0,0,1,0,1,0,0,0,0,0
10218,Github,0,0,0,0,0,1,0,0,0,0,0
10219,Github;Gitlab;Slack;Microsoft Azure;Trello,0,0,1,1,1,1,1,0,0,0,0
10220,,0,0,0,0,0,0,0,0,0,0,0
10221,Confluence;Jira;Github;Gitlab;Slack,1,1,1,0,0,1,1,0,0,0,0
10222,Confluence;Jira;Github;Gitlab;Slack;Microsoft Teams;Microsoft Azure;Trello,1,1,1,1,1,1,1,0,1,0,0
10223,"Github;Slack;Trello;Google Suite (Docs, Meet, etc)",0,0,1,0,1,1,0,1,0,0,0
10224,Confluence;Jira;Github;Gitlab;Slack,1,1,1,0,0,1,1,0,0,0,0
10225,Gitlab;Slack,0,0,1,0,0,0,1,0,0,0,0
10226,"Confluence;Jira;Github;Gitlab;Slack;Microsoft Teams;Microsoft Azure;Google Suite (Docs, Meet, etc)",1,1,1,1,0,1,1,1,1,0,0
10227,Confluence;Jira;Github;Gitlab;Slack,1,1,1,0,0,1,1,0,0,0,0
10228,"Confluence;Jira;Gitlab;Microsoft Teams;Google Suite (Docs, Meet, etc)",1,1,0,0,0,0,1,1,1,0,0
10229,"Confluence;Jira;Github;Gitlab;Microsoft Teams;Google Suite (Docs, Meet, etc)",1,1,0,0,0,1,1,1,1,0,0
10230,Github;Slack;Microsoft Teams,0,0,1,0,0,1,0,0,1,0,0
10231,Confluence;Jira;Github;Slack,1,1,1,0,0,1,0,0,0,0,0
10232,,0,0,0,0,0,0,0,0,0,0,0
10233,,0,0,0,0,0,0,0,0,0,0,0
10234,Github,0,0,0,0,0,1,0,0,0,0,0
10235,Confluence;Jira;Gitlab,1,1,0,0,0,0,1,0,0,0,0
10236,Github,0,0,0,0,0,1,0,0,0,0,0
10237,Jira;Github;Slack,0,1,1,0,0,1,0,0,0,0,0
10238,Github;Gitlab,0,0,0,0,0,1,1,0,0,0,0
10239,"Confluence;Jira;Github;Slack;Google Suite (Docs, Meet, etc)",1,1,1,0,0,1,0,1,0,0,0
10240,Confluence;Jira;Github;Slack;Microsoft Teams,1,1,1,0,0,1,0,0,1,0,0
10241,Confluence;Jira;Github;Slack;Stack Overflow for Teams,1,1,1,0,0,1,0,0,0,1,0
10242,Confluence;Jira;Github;Gitlab;Microsoft Teams,1,1,0,0,0,1,1,0,1,0,0
10243,Confluence;Jira;Github;Microsoft Teams;Microsoft Azure,1,1,0,1,0,1,0,0,1,0,0
10244,Github;Trello,0,0,0,0,1,1,0,0,0,0,0
10245,"Confluence;Jira;Github;Slack;Microsoft Teams;Trello;Google Suite (Docs, Meet, etc)",1,1,1,0,1,1,0,1,1,0,0
10246,Slack;Microsoft Teams,0,0,1,0,0,0,0,0,1,0,0
10247,Confluence;Jira;Github;Facebook Workplace;Slack;Microsoft Azure,1,1,1,1,0,1,0,0,0,0,1
10248,Confluence;Jira;Github;Slack,1,1,1,0,0,1,0,0,0,0,0
10249,Github,0,0,0,0,0,1,0,0,0,0,0
10250,"Confluence;Jira;Github;Gitlab;Slack;Google Suite (Docs, Meet, etc)",1,1,1,0,0,1,1,1,0,0,0
10251,"Confluence;Jira;Github;Gitlab;Microsoft Teams;Microsoft Azure;Google Suite (Docs, Meet, etc)",1,1,0,1,0,1,1,1,1,0,0
10252,Confluence;Jira;Github;Slack;Microsoft Azure,1,1,1,1,0,1,0,0,0,0,0
10253,"Confluence;Jira;Github;Gitlab;Slack;Microsoft Teams;Google Suite (Docs, Meet, etc)",1,1,1,0,0,1,1,1,1,0,0
10254,Confluence;Jira;Github;Slack,1,1,1,0,0,1,0,0,0,0,0
10255,Github;Slack;Trello,0,0,1,0,1,1,0,0,0,0,0
10256,Confluence;Jira;Github;Slack;Microsoft Azure,1,1,1,1,0,1,0,0,0,0,0
10257,Confluence;Jira;Github;Slack,1,1,1,0,0,1,0,0,0,0,0
10258,"Github;Gitlab;Slack;Trello;Google Suite (Docs, Meet, etc)",0,0,1,0,1,1,1,1,0,0,0
10259,Jira;Github;Slack;Microsoft Azure;Trello,0,1,1,1,1,1,0,0,0,0,0
10260,Confluence;Jira;Github;Slack,1,1,1,0,0,1,0,0,0,0,0
10261,Jira;Github;Microsoft Teams;Microsoft Azure,0,1,0,1,0,1,0,0,1,0,0
10262,"Google Suite (Docs, Meet, etc)",0,0,0,0,0,0,0,1,0,0,0
10263,,0,0,0,0,0,0,0,0,0,0,0
10264,Jira;Github;Microsoft Teams,0,1,0,0,0,1,0,0,1,0,0
10265,Confluence;Jira;Github;Slack;Trello,1,1,1,0,1,1,0,0,0,0,0
10266,Github;Slack,0,0,1,0,0,1,0,0,0,0,0
10267,Github;Stack Overflow for Teams,0,0,0,0,0,1,0,0,0,1,0
10268,Confluence;Jira;Github;Gitlab,1,1,0,0,0,1,1,0,0,0,0
10269,Github,0,0,0,0,0,1,0,0,0,0,0
10270,"Confluence;Jira;Github;Gitlab;Slack;Trello;Google Suite (Docs, Meet, etc)",1,1,1,0,1,1,1,1,0,0,0
10271,"Github;Microsoft Teams;Google Suite (Docs, Meet, etc);Stack Overflow for Teams",0,0,0,0,0,1,0,1,1,1,0
10272,Jira;Github,0,1,0,0,0,1,0,0,0,0,0
10273,Jira;Gitlab;Microsoft Teams,0,1,0,0,0,0,1,0,1,0,0
10274,"Jira;Github;Gitlab;Slack;Trello;Google Suite (Docs, Meet, etc)",0,1,1,0,1,1,1,1,0,0,0
10275,"Confluence;Jira;Github;Slack;Microsoft Azure;Trello;Google Suite (Docs, Meet, etc)",1,1,1,1,1,1,0,1,0,0,0
10276,Microsoft Teams;Microsoft Azure;Trello,0,0,0,1,1,0,0,0,1,0,0
10277,,0,0,0,0,0,0,0,0,0,0,0
10278,Confluence;Jira;Github;Slack,1,1,1,0,0,1,0,0,0,0,0
10279,Github;Microsoft Teams;Microsoft Azure,0,0,0,1,0,1,0,0,1,0,0
10280,,0,0,0,0,0,0,0,0,0,0,0
10281,"Confluence;Jira;Github;Gitlab;Slack;Trello;Google Suite (Docs, Meet, etc)",1,1,1,0,1,1,1,1,0,0,0
10282,Jira;Github;Stack Overflow for Teams,0,1,0,0,0,1,0,0,0,1,0
10283,"Google Suite (Docs, Meet, etc)",0,0,0,0,0,0,0,1,0,0,0
10284,Github;Trello,0,0,0,0,1,1,0,0,0,0,0
10285,Github;Microsoft Azure;Stack Overflow for Teams,0,0,0,1,0,1,0,0,0,1,0
10286,Confluence;Jira;Github;Gitlab,1,1,0,0,0,1,1,0,0,0,0
10287,Github;Stack Overflow for Teams,0,0,0,0,0,1,0,0,0,1,0
10288,"Jira;Github;Trello;Google Suite (Docs, Meet, etc)",0,1,0,0,1,1,0,1,0,0,0
10289,Confluence;Jira;Github,1,1,0,0,0,1,0,0,0,0,0
10290,"Github;Microsoft Teams;Trello;Google Suite (Docs, Meet, etc)",0,0,0,0,1,1,0,1,1,0,0
10291,Jira;Github;Gitlab,0,1,0,0,0,1,1,0,0,0,0
10292,Jira;Gitlab;Slack;Microsoft Teams,0,1,1,0,0,0,1,0,1,0,0
10293,Github;Microsoft Azure;Trello,0,0,0,1,1,1,0,0,0,0,0
10294,Confluence;Jira;Github,1,1,0,0,0,1,0,0,0,0,0
10295,Confluence;Jira;Github;Gitlab;Slack;Microsoft Teams,1,1,1,0,0,1,1,0,1,0,0
10296,"Confluence;Jira;Github;Google Suite (Docs, Meet, etc)",1,1,0,0,0,1,0,1,0,0,0
10297,Confluence;Jira;Github;Gitlab;Slack;Microsoft Azure,1,1,1,1,0,1,1,0,0,0,0
10298,Confluence;Jira;Github;Gitlab;Slack;Microsoft Teams,1,1,1,0,0,1,1,0,1,0,0
10299,Confluence;Jira;Gitlab;Trello,1,1,0,0,1,0,1,0,0,0,0
10300,Confluence;Jira;Slack;Microsoft Teams,1,1,1,0,0,0,0,0,1,0,0
10301,Github;Microsoft Teams,0,0,0,0,0,1,0,0,1,0,0
10302,Gitlab;Microsoft Teams;Microsoft Azure,0,0,0,1,0,0,1,0,1,0,0
10303,Github,0,0,0,0,0,1,0,0,0,0,0
10304,Confluence;Jira;Github;Slack,1,1,1,0,0,1,0,0,0,0,0
10305,Github;Gitlab;Slack;Trello,0,0,1,0,1,1,1,0,0,0,0
10306,Jira;Github;Gitlab;Slack,0,1,1,0,0,1,1,0,0,0,0
10307,Github,0,0,0,0,0,1,0,0,0,0,0
10308,"Jira;Github;Microsoft Teams;Trello;Google Suite (Docs, Meet, etc)",0,1,0,0,1,1,0,1,1,0,0
10309,,0,0,0,0,0,0,0,0,0,0,0
10310,"Github;Trello;Google Suite (Docs, Meet, etc)",0,0,0,0,1,1,0,1,0,0,0
10311,"Github;Slack;Google Suite (Docs, Meet, etc)",0,0,1,0,0,1,0,1,0,0,0
10312,"Confluence;Jira;Github;Trello;Google Suite (Docs, Meet, etc)",1,1,0,0,1,1,0,1,0,0,0
10313,,0,0,0,0,0,0,0,0,0,0,0
10314,"Confluence;Jira;Gitlab;Facebook Workplace;Slack;Google Suite (Docs, Meet, etc)",1,1,1,0,0,0,1,1,0,0,1
