,NEWCollabToolsWorkedWith,Confluence,Jira,Slack,Microsoft Azure,Trello,Github,Gitlab,"Google Suite (Docs, Meet, etc)",Microsoft Teams,Stack Overflow for Teams,Facebook Workplace
68,"Confluence;Jira;Github;Slack;Google Suite (Docs, Meet, etc)",1,1,1,0,0,1,0,1,0,0,0
69,,0,0,0,0,0,0,0,0,0,0,0
70,,0,0,0,0,0,0,0,0,0,0,0
71,Github,0,0,0,0,0,1,0,0,0,0,0
72,Confluence;Jira;Github;Gitlab;Slack,1,1,1,0,0,1,1,0,0,0,0
73,"Github;Slack;Microsoft Teams;Microsoft Azure;Trello;Google Suite (Docs, Meet, etc)",0,0,1,1,1,1,0,1,1,0,0
74,Confluence;Jira;Github;Slack,1,1,1,0,0,1,0,0,0,0,0
75,"Github;Slack;Trello;Google Suite (Docs, Meet, etc)",0,0,1,0,1,1,0,1,0,0,0
76,"Github;Slack;Trello;Google Suite (Docs, Meet, etc)",0,0,1,0,1,1,0,1,0,0,0
77,Github,0,0,0,0,0,1,0,0,0,0,0
78,Gitlab;Microsoft Teams,0,0,0,0,0,0,1,0,1,0,0
79,Confluence;Github;Gitlab;Microsoft Azure,1,0,0,1,0,1,1,0,0,0,0
80,"Github;Gitlab;Google Suite (Docs, Meet, etc)",0,0,0,0,0,1,1,1,0,0,0
81,,0,0,0,0,0,0,0,0,0,0,0
82,Github;Gitlab;Slack;Trello,0,0,1,0,1,1,1,0,0,0,0
83,"Github;Slack;Microsoft Teams;Google Suite (Docs, Meet, etc)",0,0,1,0,0,1,0,1,1,0,0
84,"Jira;Github;Slack;Microsoft Teams;Microsoft Azure;Trello;Google Suite (Docs, Meet, etc)",0,1,1,1,1,1,0,1,1,0,0
85,Github;Gitlab,0,0,0,0,0,1,1,0,0,0,0
86,Github;Gitlab,0,0,0,0,0,1,1,0,0,0,0
87,"Confluence;Jira;Github;Gitlab;Slack;Google Suite (Docs, Meet, etc)",1,1,1,0,0,1,1,1,0,0,0
