,MiscTechWorkedWith,.NET,.NET Core,React Native,Ansible,Pandas,Node.js,Unity 3D,TensorFlow,Torch/PyTorch,Teraform,Unreal Engine,Hadoop,Flutter,Cordova,Xamarin,Keras,Chef,Apache Spark,Puppet
66,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
67,.NET;.NET Core,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
68,Keras;Pandas;TensorFlow,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0
69,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
70,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
71,Keras;Pandas;Torch/PyTorch,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0
72,Ansible;Node.js,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
73,.NET;.NET Core;Node.js;Xamarin,1,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0
74,Node.js,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
75,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
76,Keras;Pandas,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0
77,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
78,Ansible,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
79,.NET Core;Ansible,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
80,Teraform,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
81,.NET,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
82,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
83,.NET;.NET Core,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
84,.NET;.NET Core;Cordova;Node.js;React Native;Unity 3D;Unreal Engine,1,1,1,0,0,1,1,0,0,0,1,0,0,1,0,0,0,0,0
85,Node.js;React Native,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
86,.NET;TensorFlow,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
87,Chef,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
88,.NET;.NET Core;Node.js,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
89,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
90,Ansible;Apache Spark;Node.js;Teraform,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0
91,Node.js;Unity 3D,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0
92,Ansible;Teraform,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
93,Node.js;Unity 3D,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0
94,Node.js,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
95,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
96,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
97,Node.js;Pandas;React Native,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
98,.NET;.NET Core,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
99,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
100,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
101,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
102,.NET Core;Cordova,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
103,.NET;.NET Core;Node.js,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
104,.NET Core,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
105,Node.js,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
106,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
107,Keras;Node.js;Pandas;React Native,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0
108,.NET;.NET Core;Node.js,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
109,Node.js,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
110,Hadoop;Pandas,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0
111,.NET;.NET Core;Node.js,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
112,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
113,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
114,Node.js,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
115,Ansible;Node.js;Teraform,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0
116,Node.js,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
117,.NET Core;Node.js;Teraform;Unity 3D;Unreal Engine,0,1,0,0,0,1,1,0,0,1,1,0,0,0,0,0,0,0,0
118,Keras;Pandas;TensorFlow,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0
119,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
120,Node.js,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
121,.NET Core,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
122,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
123,Keras;Pandas;TensorFlow,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0
124,Node.js,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
125,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
126,.NET;.NET Core,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
127,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
128,.NET;Xamarin,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
129,.NET;.NET Core;Node.js,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
130,Flutter;Node.js,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0
131,.NET;.NET Core;Flutter;Node.js,1,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0
132,Node.js;Teraform,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0
133,Pandas,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
134,.NET;Unity 3D;Unreal Engine,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0
135,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
136,.NET;.NET Core;React Native,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
137,Node.js,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
138,Unreal Engine,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
139,Apache Spark;Hadoop,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0
140,.NET,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
141,Apache Spark;Pandas;Puppet,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1
142,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
143,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
144,.NET;.NET Core;Node.js;Teraform,1,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0
145,Node.js;Pandas,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
146,Ansible,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
147,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
148,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
149,Node.js,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
