,username,comment_created_utc,comment_score,comment_text
0,justinhj,1600379540.0,4.0,"I'd be interested to know this, but it would be very difficult to get anything but a rough estimate or a comparative figure with other languages. Another way would be to try to make a list of all the companies using it, which again would be very difficult to maintain with any sort of accuracy, even if the companies themselves wanted to share the information."
1,pontymython,1600528035.0,2.0,It's worth defining 'full time' as well. Almost all the scala engineers I know work as self employed contractors rather than employees
2,Sea-Seaworthiness-28,1600409948.0,1.0,Setup a poll maybe.
