,username,comment_created_utc,comment_score,comment_text
0,trex005,1554865626.0,18.0,"Not just family, also

* friends
* friends of family members
* family members of friends
* friends of friends
* anyone who has ever belonged to any organization I have
* etc."
1,Torxed,1554879200.0,1.0,I liked the result of who the most tech influential person will be during 2019. Elon Musk completely crushed the competition. That gave me some hope in this survey.
2,NiciBozz,1554907782.0,1.0,I‘m only the second-in-command IT guy in my family
