,username,comment_created_utc,comment_score,comment_text
0,pag07,1556047306.0,2.0,For how many years in a row is VBA the least popular language? 🤔
1,reuvenpo,1555999239.0,1.0,Sounds about right 😁
2,Tonedefff,1556050216.0,3.0,"Here's the results from last year:

https://insights.stackoverflow.com/survey/2018#most-loved-dreaded-and-wanted

Most dreaded top 5:

1. Visual Basic 6
2. Cobol
3. CoffeeScript
4. VB.NET
5. VBA

Lots of hate for VB! It was one of the first languages I ever learned so I'll always have a soft spot for it. :)"
3,stonecharioteer,1556127336.0,3.0,I moved to python after something I made in VBA did not scale. I do respect it too but yeah I still don't want to ever deal with it again.
