,username,comment_created_utc,comment_score,comment_text
0,anonymous_2187,1653803118.0,5.0,All your RAM are belong to us
1,Steve0Greatness,1653804369.0,1.0,"I would shoot the gun before I have it.

Break the universe, IDC. As long as I don't have to use that... _thing_..."
2,top_of_the_scrote,1653811103.0,1.0,"Man I have 80gb of ram, what gets me is my computer just freezes out of nowhere

Playing a video/sound bzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzz

Like nooooooooooooooooo"
3,paulbufano_duh,1653850286.0,1.0,Docker + MS Teams + VS Code debugger = system failure every time
4,ElectroSpork9000,1653876949.0,1.0,"Man, I love this!!"
5,ReverseCaptioningBot,1653803132.0,2.0,"[ALL YOUR RAM ARE BELONG TO US](https://i.imgur.com/8NVGeQP.png)

^^^this ^^^has ^^^been ^^^an ^^^accessibility ^^^service ^^^from ^^^your ^^^friendly ^^^neighborhood ^^^bot"
6,anonymous_2187,1653803347.0,3.0,[Nice try bot](https://i.imgur.com/42TkPc4.jpg)
7,Steve0Greatness,1653804057.0,2.0,Did you make that pixel art? Or did you find it online?
8,anonymous_2187,1653804843.0,3.0,I found it online
