uid,challenge,effort,grade,location,resp_time
u58,3.0,1.0,1.0,"43.7061874,-72.28305411",2013-04-26 19:22:12
u58,4.0,1.0,1.0,"43.70615354,-72.28325043",2013-04-26 07:02:44
u58,3.0,1.0,1.0,"43.70402022,-72.28262527",2013-04-27 20:15:12
u58,3.0,1.0,1.0,"43.70618386,-72.28315307",2013-04-30 23:00:15
u58,4.0,1.0,1.0,"43.70647378,-72.28294033",2013-05-13 03:45:19
u58,4.0,1.0,1.0,"43.70617903,-72.28339178",2013-05-11 02:00:29
u59,2.0,2.0,1.0,"43.70639749802649,-72.28827835991979",2013-04-26 19:15:25
u59,3.0,2.0,1.0,"43.70576537679881,-72.28925870731473",2013-04-25 18:09:15
u59,1.0,1.0,1.0,"43.70579710230231,-72.29083056561649",2013-04-30 23:59:23
u59,1.0,1.0,1.0,"43.70579710230231,-72.29083056561649",2013-04-30 19:03:04
u59,1.0,1.0,1.0,"43.70270350947976,-72.28954746387899",2013-05-01 23:01:49
u59,2.0,1.0,1.0,"43.70526376180351,-72.28888688609004",2013-05-18 00:03:47
u59,1.0,1.0,1.0,Unknown,2013-05-29 20:09:05
