uid,resp_time,course_id,due,experience,hours,location
u02,2013-04-18 00:02:03,cs 65,2.0,1.0,4.0,"43.70605802,-72.28864087"
u02,2013-04-24 00:55:59,cs 77,2.0,2.0,1.0,"43.70729603,-72.29327299"
u02,2013-05-10 18:50:53,cs 65,1.0,3.0,7.0,"43.70766743,-72.28599728"
u03,2013-03-31 23:50:37,cs65,2.0,1.0,3.0,"43.70545024,-72.28315791"
u03,2013-03-27 18:47:54,cs65,2.0,3.0,10.0,"43.70549189,-72.28323121"
u03,2013-03-31 23:50:40,cs57 cs65,2.0,1.0,2.0,"43.70535793,-72.28311321"
u03,2013-03-31 23:50:33,cs57 cs65,2.0,2.0,8.0,"43.70531971,-72.28309652"
u03,2013-04-06 16:10:28,cs65 cs57,2.0,2.0,5.0,"43.70526542,-72.28302405"
u03,2013-04-09 00:06:31,cs57 cs65,1.0,1.0,12.0,"43.7054001,-72.28311069"
u03,2013-04-10 18:18:36,cs165,2.0,1.0,12.0,"43.70513656,-72.2831101"
u03,2013-04-18 07:50:55,cs57,2.0,3.0,11.0,"43.70527048,-72.2830645"
u04,2013-03-31 00:48:17,cs65,2.0,1.0,3.0,"43.70315377,-72.28626052"
u04,2013-03-27 04:40:56,cs91,2.0,1.0,5.0,"43.70200674,-72.28525688"
u04,2013-03-29 04:01:57,cs99,2.0,1.0,3.0,"43.70437389,-72.28688493"
u04,2013-03-29 19:02:29,cs65,2.0,3.0,3.0,"43.70414142,-72.28932127"
u04,2013-03-30 01:29:09,cs65,2.0,3.0,2.0,"43.70522558,-72.29116765"
u04,2013-04-02 02:17:19,cs65,1.0,1.0,4.0,"43.7058173,-72.29660835"
u04,2013-04-03 19:17:40,cs65,2.0,1.0,3.0,"43.70620355,-72.28887883"
u04,2013-04-03 22:55:33,cs65,2.0,1.0,3.0,"43.70321906,-72.28981496"
u04,2013-04-04 21:09:08,cs65,2.0,3.0,3.0,"43.70333552,-72.28845129"
u04,2013-04-05 19:19:32,cs65,2.0,3.0,3.0,"43.70410935,-72.28983199"
u04,2013-04-05 22:49:31,cs65,2.0,3.0,3.0,"43.70472132,-72.28861869"
u04,2013-04-05 22:50:09,cs65,2.0,3.0,3.0,"43.70472132,-72.28861869"
u04,2013-04-09 02:34:24,cs65,1.0,1.0,9.0,"43.70575201,-72.29596181"
u04,2013-04-10 04:14:20,cs65,2.0,1.0,1.0,"43.70493208,-72.28856946"
u04,2013-04-11 20:48:46,cs65,2.0,1.0,1.0,"43.70417131,-72.28591047"
u04,2013-04-11 05:40:56,cs65,2.0,3.0,2.0,"43.70493208,-72.28856946"
u04,2013-04-12 01:33:29,cs65,2.0,1.0,2.0,"43.70417131,-72.28591047"
u04,2013-04-18 23:26:55,cs65,2.0,1.0,2.0,"43.70546857,-72.28752275"
u04,2013-04-13 00:48:19,cs65,2.0,1.0,2.0,"43.7041984,-72.28652356"
u04,2013-04-16 02:50:39,cs65,1.0,1.0,2.0,"43.70596983,-72.29501146"
u04,2013-04-22 05:44:14,cs65,2.0,1.0,1.0,"43.702712149999996,-72.28760414"
u04,2013-04-24 00:02:01,cs65,1.0,1.0,12.0,"43.70431008,-72.28573285"
u05,2013-03-27 20:12:05,cs65,2.0,3.0,1.0,"43.70751491,-72.28694759"
u05,2013-03-27 18:35:01,CS50,2.0,3.0,1.0,"43.70751491,-72.28694759"
u05,2013-03-28 00:07:18,cs50,2.0,1.0,2.0,"43.70751491,-72.28694759"
u05,2013-03-29 00:41:19,cs65,2.0,3.0,1.0,"43.70751491,-72.28694759"
u05,2013-03-30 01:03:00,cs65,2.0,1.0,1.0,"43.70751491,-72.28694759"
u07,2013-03-28 23:34:29,cs77,2.0,4.0,1.0,"43.70200398,-72.28793859"
u07,2013-03-29 19:01:51,cs65,2.0,3.0,1.0,"43.70392608,-72.28391071"
u07,2013-03-27 22:53:59,cs60,2.0,2.0,3.0,"43.70853656,-72.28421485"
u07,2013-03-27 19:07:47,cs65,2.0,3.0,3.0,"43.7040066,-72.28391899"
u07,2013-03-28 21:00:45,cs65,2.0,3.0,2.0,"43.70432208,-72.28794944"
u07,2013-04-01 19:06:59,cs65,2.0,3.0,4.0,"43.70878398,-72.28424859"
u07,2013-04-01 23:00:55,cs60,2.0,3.0,2.0,"43.70302271,-72.28557646"
u07,2013-04-02 23:44:03,cs77,2.0,4.0,2.0,"43.70393516,-72.28368383"
u07,2013-04-03 19:55:52,cs 65,2.0,1.0,3.0,"43.70910489,-72.2849146"
u07,2013-04-03 22:59:01,cs 60,2.0,2.0,3.0,"43.70410765,-72.28384747"
u07,2013-04-10 17:57:16,cs77,2.0,4.0,1.0,"43.70387324,-72.2836399"
u07,2013-04-11 20:52:22,cs65,2.0,3.0,1.0,"43.70829698,-72.28430122"
u07,2013-04-11 09:31:50,cs65,2.0,3.0,1.0,"43.70416133,-72.28362449"
u07,2013-04-12 02:43:52,cs77,2.0,3.0,4.0,"43.70829698,-72.28430122"
u07,2013-04-11 21:35:15,cs60,2.0,4.0,1.0,"43.70829698,-72.28430122"
