uid,how,location,resp_time
u17,3.0,"43.70440021,-72.29112204",2013-05-13 02:57:38
u17,2.0,"43.70551279,-72.29153409",2013-05-21 00:01:52
u17,2.0,"43.70551279,-72.29153409",2013-05-21 00:01:26
u17,2.0,"43.70583041,-72.28925846",2013-05-31 04:37:22
u18,3.0,"43.70606925,-72.28936104",2013-04-26 23:06:15
u18,1.0,"43.70659786,-72.28668336",2013-05-04 22:02:00
u18,2.0,"43.7076324,-72.2890398",2013-05-11 00:37:53
u18,1.0,"43.70732876,-72.28925613",2013-05-27 00:00:08
u19,2.0,"43.70677529,-72.2870866",2013-04-27 22:13:51
u19,2.0,"43.70846677,-72.28804608",2013-04-25 23:26:26
u19,1.0,"43.70711699,-72.28611745",2013-04-26 22:36:38
u19,2.0,"43.70270044,-72.28974421",2013-04-26 05:55:35
u19,3.0,"43.70101204,-72.28677708",2013-05-01 09:29:21
u19,1.0,"43.70607849,-72.28457859",2013-05-03 03:29:30
u19,1.0,"43.70662811,-72.28716203",2013-05-10 02:52:10
u19,1.0,"43.70705362,-72.28594706",2013-05-04 02:49:55
u19,1.0,"43.70670191,-72.28568105",2013-05-14 03:16:17
u19,3.0,"43.70691192,-72.28587513",2013-05-05 07:54:07
u19,1.0,"43.70705362,-72.28594706",2013-05-04 02:23:45
u19,2.0,Unknown,2013-05-07 22:16:31
u19,2.0,"43.70743065,-72.286434",2013-05-13 00:30:26
u19,1.0,"43.70700456,-72.28598088",2013-05-11 03:16:31
u19,2.0,"43.70714135,-72.28594665",2013-05-17 07:25:41
u19,1.0,"43.70553571,-72.28844634",2013-05-20 00:32:33
u19,1.0,"43.70754131,-72.28597491",2013-05-20 08:29:05
u19,3.0,"43.70712264,-72.28701115",2013-05-21 09:12:20
u19,3.0,"43.7040776,-72.29042456",2013-05-22 08:10:42
u19,3.0,"43.70591461,-72.28849116",2013-05-29 01:36:57
u19,2.0,Unknown,2013-05-24 08:16:04
u19,1.0,"43.70696465,-72.28583899",2013-05-31 07:12:33
u19,2.0,"43.70706719,-72.28602375",2013-05-26 01:57:36
u19,1.0,"43.70704382,-72.28594456",2013-06-01 00:48:46
u22,1.0,"43.70433388,-72.29020625",2013-05-08 22:24:10
u22,1.0,"43.70419189,-72.29048043",2013-05-10 01:33:59
u22,1.0,"43.70419189,-72.29048043",2013-05-10 01:37:36
u22,1.0,Unknown,2013-05-11 00:00:15
u22,1.0,Unknown,2013-05-07 23:09:36
u22,2.0,"43.70460383,-72.29228358",2013-05-19 00:45:13
u23,1.0,"43.70650611,-72.28685219",2013-04-27 22:04:44
u24,1.0,"43.70334641,-72.28788749",2013-05-14 01:54:35
u24,3.0,"43.4009285,-72.02075727",2013-05-17 19:32:58
u27,1.0,"43.70426762,-72.28661209",2013-05-15 03:28:44
u27,3.0,"43.70417765,-72.28574551",2013-05-09 23:06:15
u27,3.0,Unknown,2013-05-07 22:00:05
u27,1.0,"43.70375608,-72.28703624",2013-06-01 00:42:27
u32,3.0,"43.70608389,-72.29104393",2013-04-26 22:53:36
u32,1.0,Unknown,2013-05-06 23:12:50
u32,1.0,"43.65273307,-72.24424084",2013-05-27 06:29:08
u33,2.0,"43.70447388,-72.29152074",2013-04-30 07:20:13
u33,2.0,"43.7037887,-72.29615197",2013-04-26 22:17:01
u33,3.0,"43.701888339999996,-72.28851972",2013-05-03 04:33:07
u33,2.0,"43.70583433,-72.28880318",2013-05-05 01:15:43
u33,2.0,"43.70353749,-72.29596044",2013-05-07 22:42:44
u33,2.0,"43.70341223,-72.29622026",2013-05-05 22:38:10
u33,3.0,"43.70416591,-72.29582511",2013-05-14 00:01:22
u33,2.0,Unknown,2013-05-08 22:59:24
u33,1.0,"43.70340681,-72.29510547",2013-05-12 00:36:21
u33,2.0,"43.70340016,-72.29598785",2013-05-18 23:59:00
u33,2.0,"43.70339898,-72.29596704",2013-05-20 23:58:56
u33,2.0,,2013-05-26 00:18:30
u33,3.0,Unknown,2013-05-30 02:20:10
u33,2.0,"43.7035783,-72.29597417",2013-05-31 00:00:32
u33,1.0,"43.70361662,-72.29629397",2013-06-04 00:37:37
u34,1.0,"43.70778087,-72.284494",2013-05-15 02:55:51
u35,1.0,"43.65861498,-72.24869697",2013-05-10 03:09:13
u35,3.0,"43.65861498,-72.24869697",2013-05-08 22:11:26
u35,3.0,"43.65879142,-72.24859263",2013-05-04 23:08:06
u35,1.0,"43.65841652,-72.30653646",2013-05-13 00:00:11
u35,2.0,"43.70206724,-72.28924417",2013-05-11 00:39:23
u35,1.0,"43.70517353,-72.28354394",2013-05-06 22:11:38
u35,1.0,"43.70915015,-72.28604265",2013-05-12 01:26:07
u35,3.0,"43.70538726,-72.28309592",2013-05-19 00:48:51
u35,2.0,"43.65860676,-72.24874362",2013-05-20 00:50:56
u35,2.0,Unknown,2013-05-26 00:05:34
u35,1.0,"43.70531079,-72.28305863",2013-05-25 00:21:25
u35,2.0,Unknown,2013-06-01 01:47:00
u36,2.0,"43.706598819999996,-72.28705791",2013-04-26 22:29:39
u36,2.0,"43.70674054,-72.28704712",2013-04-27 22:47:18
u36,2.0,"43.70630215,-72.2870075",2013-05-03 05:10:25
u36,2.0,"43.70646662,-72.28716438",2013-05-07 01:39:30
u36,1.0,"43.69722174,-72.28097189",2013-05-09 00:07:19
u36,2.0,"43.70627941,-72.28722721",2013-05-07 22:31:37
u36,2.0,"43.7066861,-72.28705909",2013-05-11 02:12:31
u36,2.0,"43.70698222,-72.28667187",2013-05-10 01:17:43
u36,2.0,Unknown,2013-05-13 01:33:55
u36,2.0,"43.65173048,-72.309999",2013-05-19 00:25:56
u36,1.0,"43.70638831,-72.28701556",2013-05-21 00:50:06
u36,2.0,"43.65171421,-72.30991725",2013-05-23 00:47:41
u36,2.0,"43.70331517,-72.2903492",2013-05-24 00:25:05
u36,1.0,"43.70652774,-72.28696301",2013-05-25 00:56:08
u36,1.0,"43.70694171,-72.28700511",2013-05-27 00:36:52
u36,1.0,"43.70675448,-72.28725884",2013-05-30 00:31:33
u41,3.0,"43.7037783,-72.28595415",2013-05-12 00:04:56
u41,2.0,"43.70429654,-72.28590964",2013-05-13 00:00:04
u42,1.0,Unknown,2013-05-12 01:39:28
u42,1.0,"43.66270982,-72.25494813",2013-05-13 19:40:39
u42,1.0,"43.68142273,-72.27279919",2013-05-08 22:19:41
u42,1.0,"43.65874258,-72.2487922",2013-05-09 22:05:49
u42,1.0,"43.69336363,-72.27365248",2013-05-05 23:59:01
u42,1.0,"43.65895537,-72.24885603",2013-05-13 00:35:20
u42,1.0,"43.66270982,-72.25494813",2013-05-13 19:40:27
u42,1.0,"43.70453685,-72.2881513",2013-05-15 01:57:47
u42,1.0,"43.70351027,-72.28230729",2013-05-14 00:58:25
u42,1.0,"43.65874157,-72.24869478",2013-05-20 00:03:58
u42,1.0,"43.65863402,-72.24909156",2013-05-23 00:11:12
u42,1.0,"43.70474518,-72.28804204",2013-05-28 00:42:01
u42,1.0,"43.65870942,-72.24896069",2013-06-01 00:56:39
u43,1.0,"43.70334991,-72.28797101",2013-05-07 22:22:39
u43,1.0,Unknown,2013-05-24 00:11:09
u44,2.0,"43.69221585,-72.26709452",2013-04-25 16:30:22
u44,2.0,"43.7069105,-72.28675521",2013-04-26 23:54:13
u44,1.0,"43.69213926,-72.26672014",2013-05-07 22:07:47
u44,2.0,"43.70976741,-72.28416244",2013-05-04 03:30:36
u44,1.0,"43.70691341,-72.28711558",2013-05-06 22:44:01
u44,2.0,"43.69204241,-72.26714416",2013-05-23 00:33:29
u44,2.0,"43.70950016,-72.28439255",2013-05-25 00:01:05
u45,2.0,"43.70895574,-72.28520194",2013-05-07 22:04:41
u45,1.0,"43.7085868,-72.28586047",2013-05-14 00:08:05
u45,1.0,"43.70704252,-72.28687893",2013-05-08 22:14:26
u45,1.0,Unknown,2013-05-11 00:46:57
u45,3.0,"43.70865564,-72.28578202",2013-05-12 00:50:46
u45,1.0,"43.63503203,-72.31637259",2013-05-06 22:30:46
u45,1.0,"43.70865564,-72.28578202",2013-05-13 01:48:46
u45,1.0,Unknown,2013-05-25 00:00:32
u46,2.0,"43.70634592,-72.2884467",2013-04-26 22:00:10
u46,3.0,"43.70908413,-72.28431398",2013-05-03 02:11:34
u46,2.0,"43.70687011,-72.28716383",2013-05-04 02:20:47
u46,2.0,"43.70241262,-72.28692452",2013-05-07 22:20:22
u47,1.0,Unknown,2013-05-04 03:57:44
u47,1.0,"43.68147579487413,-72.32193337753415",2013-05-20 00:32:26
u47,2.0,"43.70307348668575,-72.29181686416268",2013-05-21 00:09:48
u47,3.0,"43.706723637878895,-72.28743882849813",2013-05-23 00:00:21
u47,2.0,"43.7070740852505,-72.28581625968218",2013-05-24 00:05:59
u47,1.0,"43.632881795056164,-72.31773060746491",2013-05-26 00:20:37
u47,1.0,"43.70288774371147,-72.29048950597644",2013-05-28 01:45:36
u49,1.0,"43.7061501468382,-72.28848699332445",2013-04-26 22:12:08
u49,1.0,"43.707151418494384,-72.29058943316315",2013-05-03 02:00:31
u49,1.0,"43.707282561484476,-72.29058439391278",2013-05-06 23:51:38
u49,3.0,"43.705985547631826,-72.2890841770398",2013-05-07 06:02:33
u49,1.0,"43.70377306642512,-72.28776140116048",2013-05-14 00:05:50
u49,2.0,"43.707379586159206,-72.29060853495425",2013-05-04 22:00:21
u49,1.0,"43.70311076889067,-72.29034101735787",2013-05-05 06:02:49
u49,2.0,"43.707145329987014,-72.29043743098563",2013-05-04 21:04:40
u49,1.0,"43.70709230032404,-72.29071911981403",2013-05-10 07:56:59
u49,3.0,"43.63859500978054,-72.21364092980868",2013-05-13 02:53:33
u49,1.0,"43.70377306642512,-72.28776140116048",2013-05-13 19:10:25
u49,1.0,"43.70728455517431,-72.2906448611393",2013-05-18 06:32:44
u49,3.0,"43.70693037013252,-72.29080128229405",2013-05-19 00:59:20
u49,1.0,"43.70705546477196,-72.29062002318801",2013-05-24 07:55:42
u49,1.0,"43.7072259238806,-72.29061095852634",2013-05-31 07:52:35
u49,1.0,"43.706969888401865,-72.29062563084044",2013-05-26 00:54:25
u49,1.0,"43.70730262660705,-72.29076807376563",2013-05-27 00:58:27
u49,3.0,"43.70719884051104,-72.29071075450138",2013-05-30 02:06:09
u51,2.0,"43.70654886,-72.28703863",2013-05-03 03:18:53
u51,1.0,"42.03730138,-72.61212822",2013-05-05 23:55:36
u51,3.0,"43.70867738,-72.28278821",2013-05-13 17:28:16
u51,2.0,"42.03807185,-72.61743268",2013-05-05 23:55:39
u51,3.0,"43.70775941,-72.28447077",2013-05-10 00:31:03
u51,2.0,Unknown,2013-05-07 22:20:39
u51,2.0,"43.70644429,-72.28740351",2013-05-11 02:17:01
