uid,duration,enjoy,location,resp_time
u35,3.0,4.0,"43.65841652,-72.30653646",2013-05-12 21:34:45
u36,1.0,3.0,"37.33932807,-122.03905765",2013-04-25 02:49:18
u36,1.0,3.0,"43.70666412,-72.28708106",2013-04-30 18:02:33
u36,1.0,3.0,"43.7065011,-72.28699131",2013-04-30 20:54:17
u36,1.0,1.0,"43.70644129,-72.28656235",2013-05-01 19:00:35
u36,1.0,2.0,"43.70698222,-72.28667187",2013-05-10 01:17:42
u36,1.0,1.0,"43.63656119,-72.28897237",2013-05-14 21:27:15
u42,3.0,3.0,"43.65895537,-72.24885603",2013-05-12 21:17:22
u42,3.0,3.0,"43.70487567,-72.28834321",2013-05-14 23:50:44
u42,5.0,4.0,"43.68142273,-72.27279919",2013-05-08 21:01:11
u42,2.0,3.0,"43.66607224,-72.25819234",2013-05-13 19:40:41
u42,3.0,4.0,"43.70203864,-72.28924636",2013-05-13 23:26:29
u42,2.0,3.0,"43.66607224,-72.25819234",2013-05-13 19:40:27
u43,7.0,2.0,"43.70550988,-72.29132553",2013-04-23 18:57:44
u43,8.0,2.0,"43.70711602,-72.28722555",2013-05-01 19:20:55
u44,7.0,2.0,"43.69935873,-72.28135033",2013-04-25 00:29:27
u44,8.0,2.0,"43.69226047,-72.26711652",2013-04-23 17:42:46
u44,6.0,3.0,"43.69205554,-72.2671205",2013-04-30 15:28:39
u44,6.0,2.0,"43.70958087,-72.28404203",2013-05-01 19:05:54
u44,4.0,2.0,"43.69255276,-72.26704092",2013-05-07 18:24:42
u44,4.0,2.0,"43.69219289,-72.26671048",2013-05-15 16:49:30
u45,6.0,1.0,"43.70865564,-72.28578202",2013-05-12 21:50:50
u45,7.0,1.0,"43.7085868,-72.28586047",2013-05-13 23:17:51
u45,3.0,1.0,"43.702354389999996,-72.2892888",2013-05-11 21:46:08
u46,5.0,2.0,"43.70577101,-72.28783064",2013-04-25 05:51:03
u46,7.0,5.0,"43.70900252,-72.28424112",2013-05-01 19:04:34
u47,5.0,4.0,"43.7070740852505,-72.28581625968218",2013-05-24 01:27:27
u49,11.0,2.0,"43.7028007679431,-72.29029717109633",2013-04-24 00:02:37
u49,11.0,3.0,Unknown,2013-04-30 19:39:10
u49,7.0,2.0,Unknown,2013-05-17 21:41:17
u50,4.0,2.0,"43.70861857,-72.28240464",2013-05-13 22:16:38
u51,7.0,5.0,"43.69351826,-72.28905418",2013-04-23 19:05:02
u51,1.0,3.0,Unknown,2013-04-24 18:24:54
u51,1.0,1.0,"43.70458444,-72.28775897",2013-05-02 19:17:17
u51,1.0,3.0,"43.70558487,-72.28330142",2013-05-11 22:10:12
u51,1.0,3.0,Unknown,2013-05-12 21:30:26
u51,1.0,1.0,"43.70636234,-72.28679273",2013-05-13 23:22:06
u52,1.0,3.0,"43.70716636666667,-72.28887943333334",2013-04-23 19:02:17
u53,8.0,3.0,"43.7054763,-72.28313231",2013-04-30 11:44:09
u53,4.0,2.0,Unknown,2013-05-08 21:47:58
u53,5.0,3.0,"43.70559534,-72.28313851",2013-05-13 23:43:11
u54,5.0,3.0,"43.7049972,-72.29464306",2013-05-02 19:35:04
u57,8.0,2.0,"43.70694968,-72.28901481",2013-04-30 19:36:59
u57,8.0,2.0,"43.70284421,-72.2877583",2013-05-01 19:56:17
u57,6.0,2.0,"43.70262093,-72.28927419",2013-05-08 21:11:19
u58,4.0,1.0,"43.70624805,-72.28345887",2013-04-23 18:08:53
u58,3.0,1.0,"43.70593948,-72.28355406",2013-04-24 18:00:12
u58,1.0,1.0,"43.70618385,-72.28323613",2013-04-30 19:18:40
u58,1.0,3.0,"43.70585176,-72.28246994",2013-05-01 20:00:00
u58,1.0,1.0,"43.70783173,-72.28329016",2013-05-02 20:05:18
u58,1.0,1.0,"43.7061181,-72.28339464",2013-05-11 02:01:31
u58,1.0,1.0,"43.70647378,-72.28294033",2013-05-12 21:01:54
u58,1.0,1.0,"43.70621458,-72.28339893",2013-05-17 21:00:37
u59,8.0,4.0,Unknown,2013-04-24 02:28:39
u59,11.0,3.0,"43.70579710230231,-72.29083056561649",2013-04-30 19:02:53
u59,7.0,2.0,Unknown,2013-05-08 17:37:00
u59,11.0,2.0,Unknown,2013-05-29 20:09:34
