uid,resp_time,location,number
u03,2013-04-13 20:00:18,"43.70757708,-72.28323056",1.0
u03,2013-04-18 07:50:28,"43.70523965,-72.28314435",2.0
u03,2013-04-21 09:29:33,"43.70535349,-72.28311717",2.0
u03,2013-04-22 06:46:44,"43.70529561,-72.28303611",2.0
u03,2013-04-23 06:03:42,"43.70520444,-72.28312961",1.0
u03,2013-05-12 19:35:04,"43.70579533,-72.28356911",2.0
u03,2013-05-06 16:24:30,"43.70537463,-72.28318556",1.0
u03,2013-05-15 17:18:23,"43.70532924,-72.28318456",1.0
u04,2013-04-03 16:54:20,"43.70406845,-72.28722573",2.0
u04,2013-03-27 02:08:21,"43.70442851,-72.28676606",3.0
u04,2013-03-29 07:12:11,"43.70364698,-72.28605308",3.0
u04,2013-04-03 05:05:54,"43.70406845,-72.28722573",2.0
u04,2013-03-30 07:09:43,"43.70522558,-72.29116765",3.0
u04,2013-03-30 22:37:00,"43.70315377,-72.28626052",3.0
u04,2013-03-31 15:54:16,"43.70315377,-72.28626052",4.0
u04,2013-03-31 19:33:26,"43.70315377,-72.28626052",3.0
u04,2013-04-03 05:05:54,"43.70406845,-72.28722573",3.0
u04,2013-04-04 15:38:15,"43.70500049,-72.28555637",3.0
u04,2013-04-05 04:15:01,"43.70307665,-72.28927304",3.0
u04,2013-04-07 00:22:25,"43.70419632,-72.28592597",3.0
u04,2013-04-07 16:49:38,"43.70400146,-72.28561947",4.0
u04,2013-04-07 16:49:42,"43.70400146,-72.28561947",4.0
u04,2013-04-08 06:09:13,Unknown,3.0
u04,2013-04-11 20:02:55,"43.70417131,-72.28591047",3.0
u04,2013-04-12 20:44:05,"43.7041984,-72.28652356",3.0
u04,2013-04-13 20:12:01,Unknown,3.0
u04,2013-04-16 06:00:10,"43.70596983,-72.29501146",3.0
u04,2013-04-19 15:02:51,"43.70394475,-72.2863293",3.0
u04,2013-04-28 06:59:44,"43.70395298,-72.28591488",3.0
u04,2013-05-03 16:09:38,"43.7028707,-72.28951833",3.0
u04,2013-05-10 08:58:52,"43.70272466,-72.28964384",3.0
u04,2013-05-05 15:39:29,"43.70270522,-72.28685093",4.0
u04,2013-05-06 16:01:31,"43.70414453,-72.28604036",3.0
u04,2013-05-05 02:33:33,"42.48235825,-76.48771688",4.0
u04,2013-05-13 15:27:02,"43.70393102,-72.2857803",2.0
u05,2013-03-27 20:11:35,"43.70751491,-72.28694759",3.0
u05,2013-03-27 18:35:00,"43.70751491,-72.28694759",4.0
u05,2013-03-28 20:08:17,"43.70751491,-72.28694759",3.0
u05,2013-03-30 01:02:58,"43.70751491,-72.28694759",5.0
u05,2013-03-31 07:09:07,"42.69942036,-71.43609676",5.0
u05,2013-03-30 06:48:59,"43.70751491,-72.28694759",6.0
u07,2013-03-30 10:01:30,"43.7038505,-72.28368719",3.0
u07,2013-04-03 17:57:11,"43.70391766,-72.28483911",3.0
u07,2013-03-27 03:43:25,"43.70675332,-72.2868274",3.0
u07,2013-03-27 17:18:00,"43.7040066,-72.28391899",3.0
u07,2013-03-29 06:54:58,"43.70321138,-72.29012708",3.0
u07,2013-03-29 17:05:45,"43.70392608,-72.28391071",4.0
u07,2013-03-28 08:35:58,"43.70327981,-72.28393317",3.0
u07,2013-03-28 18:03:30,"43.70381904,-72.28413912",3.0
u07,2013-03-31 07:07:51,"43.70358547,-72.28382208",3.0
u07,2013-03-31 12:10:04,"43.7034298,-72.2850223",3.0
u07,2013-04-03 05:04:52,"43.70278287,-72.28564898",4.0
u07,2013-04-01 06:24:05,"43.70393335,-72.2837312",4.0
u07,2013-04-01 18:02:17,"43.70371391,-72.28343209",3.0
