uid,location,resp_time,tomorrow
u43,"43.70550005,-72.29157923",2013-05-03 03:39:15,1.0
u43,Unknown,2013-05-04 22:00:25,1.0
u43,"43.70565668,-72.29170452",2013-05-03 22:43:04,1.0
u43,"43.70553515,-72.29157025",2013-05-29 04:18:06,1.0
u44,"43.69221585,-72.26709452",2013-04-25 16:30:11,2.0
u44,"43.6920329,-72.26703169",2013-04-25 23:02:48,1.0
u44,"43.69230343,-72.26698234",2013-04-28 22:11:54,2.0
u44,"43.69243856,-72.26703034",2013-05-01 02:34:05,2.0
u44,"43.69136541,-72.26914044",2013-05-02 02:46:33,2.0
u44,"43.70976741,-72.28416244",2013-05-03 22:54:30,2.0
u44,Unknown,2013-05-31 06:26:39,2.0
u45,"43.70704252,-72.28687893",2013-05-09 01:00:12,1.0
u46,"43.70579327,-72.28775982",2013-04-25 05:51:31,3.0
u46,Unknown,2013-04-28 22:50:14,2.0
u46,"43.70618276,-72.28714599",2013-05-02 02:19:24,2.0
u46,"43.70528182,-72.28784105",2013-05-09 00:02:09,2.0
u46,"43.70685552,-72.28731286",2013-05-03 22:00:10,1.0
u47,Unknown,2013-05-03 04:06:55,1.0
u47,"43.703140332363546,-72.2905747499317",2013-05-29 04:05:26,1.0
u49,"43.70155525235829,-72.2882415142024",2013-05-02 04:57:00,3.0
u49,"43.705985547631826,-72.2890841770398",2013-05-07 06:02:24,2.0
u49,"43.707177072888065,-72.29092730930216",2013-05-04 22:04:20,3.0
u49,"43.70311076889067,-72.29034101735787",2013-05-05 06:02:45,1.0
u49,"43.637531703024216,-72.21285244528069",2013-05-13 02:53:33,2.0
u49,"43.70377306642512,-72.28776140116048",2013-05-13 19:10:20,1.0
u49,"43.70728455517431,-72.2906448611393",2013-05-18 06:32:31,1.0
u49,"43.70705546477196,-72.29062002318801",2013-05-24 07:55:38,1.0
u49,"43.7072259238806,-72.29061095852634",2013-05-31 07:52:38,1.0
u49,"43.70719884051104,-72.29071075450138",2013-05-30 04:56:51,1.0
u51,"43.70738663,-72.28550615",2013-05-30 04:01:26,3.0
u51,"43.70642775,-72.28707311",2013-05-31 06:14:57,1.0
u51,"44.8133656,-71.88147691",2013-05-26 23:12:36,2.0
u51,"43.69384957,-72.28397489",2013-05-27 05:01:17,3.0
u51,"43.69813972,-72.28405345",2013-05-28 04:38:26,2.0
u51,"43.70663646,-72.28797788",2013-05-29 06:03:35,3.0
u51,"43.70419424,-72.28832947",2013-06-01 04:08:51,1.0
u51,"43.70660417,-72.28703816",2013-06-02 21:27:33,3.0
u52,"43.70718005,-72.28900753333333",2013-04-25 22:00:24,1.0
u52,"43.707202116666664,-72.28902603333333",2013-04-27 23:24:46,2.0
u52,"43.7076912,-72.28656833333334",2013-05-31 05:07:03,1.0
u52,"43.70465635,-72.28957428333334",2013-05-30 04:20:59,1.0
u53,"43.70782584,-72.28356464",2013-04-25 22:12:54,3.0
u53,"43.70710591,-72.28751046",2013-05-01 02:01:03,3.0
u53,"43.70559988,-72.28313601",2013-05-02 02:00:09,3.0
u53,"43.70684976,-72.28704294",2013-05-09 01:31:53,3.0
u53,Unknown,2013-05-04 22:01:31,2.0
u53,"43.70543415,-72.2830221",2013-05-03 22:00:15,2.0
u53,"43.70552772,-72.28348024",2013-05-29 06:01:05,3.0
u53,"43.70536629,-72.28269741",2013-05-31 12:11:26,3.0
u54,"43.70390762,-72.29588033",2013-04-26 22:15:07,2.0
u54,"43.7049972,-72.29464306",2013-05-02 02:05:15,2.0
u54,Unknown,2013-05-04 22:11:06,1.0
u56,"43.71655061,-72.30949164",2013-05-03 04:07:20,1.0
u56,"43.71662496,-72.30922427",2013-06-03 07:47:34,3.0
u57,"43.7060774,-72.28675925",2013-04-25 05:36:34,2.0
u57,"43.7017697,-72.28948326",2013-04-25 22:05:27,2.0
u57,"43.7068756,-72.28916657",2013-04-27 22:04:28,2.0
u57,"43.70490849,-72.28796135",2013-05-01 02:52:48,2.0
u57,"43.70614132,-72.28702056",2013-05-02 03:15:47,2.0
u57,"43.70157634,-72.28860612",2013-05-09 00:07:09,1.0
u57,"43.70674185,-72.28853361",2013-05-26 08:54:39,3.0
u57,"43.70390862,-72.28926133",2013-05-27 04:48:24,1.0
u57,Unknown,2013-05-29 04:28:01,2.0
u57,"43.70723369,-72.28866202",2013-05-30 04:02:30,3.0
u57,"43.70308196,-72.29042004",2013-06-01 04:05:22,1.0
u57,"43.70664445,-72.28960796",2013-05-31 04:31:03,1.0
u57,Unknown,2013-06-02 04:21:58,1.0
u58,"43.70624722,-72.28332992",2013-04-25 22:00:19,3.0
u58,"43.70607286,-72.2833536",2013-04-26 20:37:03,1.0
u58,"43.70618386,-72.28315307",2013-05-01 03:20:50,3.0
u58,"43.70585176,-72.28246994",2013-05-02 02:46:39,2.0
u58,"43.7061181,-72.28339464",2013-05-11 02:01:37,3.0
u58,"43.70572754,-72.28345198",2013-05-03 22:18:01,1.0
u58,"43.70647378,-72.28294033",2013-05-13 03:45:21,1.0
u58,"43.7079224,-72.28383182",2013-05-30 09:51:49,3.0
u58,"43.70421604,-72.28471655",2013-05-26 04:05:44,1.0
u58,"43.70618726,-72.28339225",2013-05-27 06:30:35,2.0
u58,"43.70634634,-72.28276716",2013-05-28 07:43:25,1.0
u58,"43.70622433,-72.28334234",2013-05-28 22:17:26,3.0
u58,"43.70527295,-72.28304277",2013-05-29 05:09:35,3.0
u58,"43.70650961,-72.28688161",2013-06-01 04:08:52,1.0
u58,"43.70599502,-72.28327305",2013-05-31 04:12:35,3.0
u59,"43.70548307429999,-72.2909040749073",2013-04-25 03:01:02,3.0
u59,"43.7066536070779,-72.28823712095618",2013-04-25 23:52:08,1.0
u59,Unknown,2013-04-27 22:08:11,1.0
u59,"43.706689733080566,-72.28658253327012",2013-04-29 08:15:49,2.0
u59,"43.705516937188804,-72.29096400551498",2013-04-28 21:11:29,2.0
u59,"43.70579710230231,-72.29083056561649",2013-04-30 19:03:39,1.0
u59,"43.70313869789243,-72.2904294077307",2013-05-01 05:01:05,1.0
u59,"43.702549575828016,-72.28945333510637",2013-05-02 02:00:15,1.0
u59,"43.70568541344255,-72.29091857559979",2013-05-03 06:14:22,1.0
u59,"43.70551781728864,-72.29054197669029",2013-05-05 20:56:30,2.0
u59,Unknown,2013-05-15 06:04:11,3.0
u59,Unknown,2013-05-09 00:03:54,3.0
u59,Unknown,2013-05-09 08:22:20,3.0
u59,"43.70553600601852,-72.29107699356973",2013-05-16 15:43:03,3.0
u59,"43.704725224524736,-72.28949784301221",2013-05-20 00:24:51,1.0
u59,"43.704957026056945,-72.29194384999573",2013-05-18 21:08:06,1.0
u59,"43.70531283784658,-72.28896860964596",2013-05-18 00:04:12,1.0
u59,"43.70559212286025,-72.29091203771532",2013-05-20 20:47:45,3.0
u59,Unknown,2013-05-21 18:55:48,1.0
u59,Unknown,2013-05-25 20:38:02,3.0
u59,Unknown,2013-05-26 05:32:54,2.0
u59,Unknown,2013-05-29 02:00:57,1.0
u59,Unknown,2013-05-28 04:00:22,1.0
u59,Unknown,2013-05-28 09:55:27,3.0
u59,"43.70560381561518,-72.29110607877374",2013-05-28 20:07:40,3.0
u59,Unknown,2013-05-29 04:05:09,1.0
u59,Unknown,2013-05-30 00:41:39,3.0
u59,"43.705530599690974,-72.29089292697608",2013-05-30 16:11:57,1.0
u59,Unknown,2013-05-31 09:57:35,3.0
u59,"40.69961621426046,-73.81507202982903",2013-06-01 13:09:14,3.0
u59,"43.705530599690974,-72.29089292697608",2013-05-30 20:03:23,1.0
u59,Unknown,2013-05-31 00:01:12,1.0
u59,"41.09053309075534,-73.45103331841528",2013-06-01 04:03:21,1.0
u59,"43.70508837047964,-72.29301681742072",2013-05-31 04:08:00,1.0
u59,"29.900103276595473,-90.0295245833695",2013-06-02 06:00:08,3.0
u59,"29.90279709454626,-90.02736900933087",2013-06-03 23:57:24,1.0
u59,"29.902807823382318,-90.02733036875725",2013-06-04 01:29:50,1.0
u59,"29.902628953568637,-90.02758811227977",2013-06-04 08:40:05,3.0
u59,"29.902892354875803,-90.02732827328146",2013-06-06 00:05:45,1.0
u59,"29.9028183426708,-90.02741821110249",2013-06-05 01:10:02,1.0
u59,"29.902878901921213,-90.02735710702837",2013-06-02 21:31:17,1.0
u59,"29.902913058176637,-90.02728560939431",2013-06-05 05:06:14,1.0
u59,"29.902838333509862,-90.02745215781033",2013-06-03 00:59:46,1.0
u59,"29.902872280217707,-90.02744721248746",2013-06-04 23:18:17,1.0
u59,"29.90317050833255,-90.02723732963204",2013-06-03 03:47:50,1.0
u59,"29.90291414782405,-90.0272691808641",2013-06-03 07:57:27,3.0
u59,"29.90302047226578,-90.02727027051151",2013-06-05 07:15:24,3.0
u59,"29.903109236620367,-90.02735501155257",2013-06-06 10:21:41,3.0
u59,Unknown,2013-06-07 23:42:39,1.0
