uid,resp_time,anxious,calm,conventional,critical,dependable,disorganized,enthusiastic,experiences,reserved,sympathetic,location
u59,2013-05-18 21:06:37,2.0,5.0,1.0,1.0,3.0,2.0,5.0,5.0,1.0,5.0,"43.70495073962957,-72.29194125160575"
u59,2013-05-21 18:56:46,1.0,5.0,2.0,2.0,4.0,1.0,5.0,4.0,3.0,5.0,"43.70674258098006,-72.287409408018"
u59,2013-05-22 06:49:12,3.0,3.0,5.0,3.0,2.0,3.0,2.0,1.0,4.0,2.0,"43.70286435820162,-72.28974292986095"
u59,2013-05-23 00:04:29,2.0,3.0,3.0,3.0,4.0,2.0,2.0,2.0,3.0,5.0,"43.705720701254904,-72.29104246012866"
u59,2013-05-29 02:02:21,3.0,3.0,3.0,3.0,4.0,2.0,2.0,2.0,4.0,2.0,Unknown
u59,2013-05-31 09:58:33,2.0,4.0,2.0,2.0,3.0,3.0,4.0,4.0,3.0,4.0,Unknown
u59,2013-05-27 08:45:00,3.0,2.0,3.0,4.0,3.0,2.0,2.0,3.0,4.0,3.0,"43.705510566942394,-72.29118637740612"
u59,2013-05-26 19:17:45,1.0,4.0,3.0,2.0,3.0,3.0,1.0,2.0,5.0,3.0,"43.705819859169424,-72.29087230749428"
u59,2013-05-27 19:49:34,2.0,4.0,3.0,3.0,4.0,2.0,2.0,2.0,4.0,3.0,"43.70550733990967,-72.2909749019891"
u59,2013-05-30 16:14:46,3.0,3.0,4.0,4.0,3.0,3.0,1.0,1.0,5.0,2.0,"43.705530599690974,-72.29089292697608"
u59,2013-05-31 18:11:51,2.0,4.0,4.0,2.0,3.0,3.0,2.0,2.0,5.0,3.0,"43.70569061022252,-72.2908440604806"
u59,2013-06-05 07:16:19,1.0,4.0,2.0,2.0,4.0,2.0,2.0,3.0,4.0,4.0,"29.90292952861637,-90.02738744951785"
u59,2013-06-02 21:33:21,2.0,5.0,3.0,2.0,4.0,2.0,3.0,3.0,5.0,5.0,"29.902838333509862,-90.02745215781033"
u59,2013-06-03 03:48:26,1.0,4.0,2.0,2.0,4.0,3.0,4.0,3.0,2.0,4.0,"29.902932504191995,-90.02747026272118"
