uid,location,place,productivity,resp_time,noise
u22,Unknown,dorm,4.0,2013-05-12 05:21:21,1.0
u22,"43.70419189,-72.29048043",dorm,4.0,2013-05-10 04:19:04,1.0
u22,Unknown,dirm,4.0,2013-05-14 04:27:36,1.0
u23,"43.70532953,-72.28315143",,1.0,2013-04-28 22:24:47,1.0
u24,"43.70636729,-72.29144404","m&S's department, silsby",2.0,2013-05-18 03:34:19,2.0
u27,"43.70471322,-72.28784779",baker,2.0,2013-04-29 22:02:04,1.0
u27,"43.70396926,-72.28577776",novack,3.0,2013-04-26 06:01:48,2.0
u27,"43.70429448,-72.28571806",baker,3.0,2013-05-02 22:11:02,1.0
u27,"43.70317223,-72.28692052",room,1.0,2013-05-04 00:56:41,1.0
u30,Unknown,1902 room,3.0,2013-04-26 02:12:02,2.0
u30,"43.70906142,-72.28431236",Sudikoff 002,4.0,2013-04-29 18:02:00,2.0
u30,"43.7024991,-72.28938342",Paddock library,4.0,2013-05-03 06:32:38,1.0
u32,"43.47216071,-71.99885894",foco,3.0,2013-04-30 22:02:35,2.0
u33,"43.70498883,-72.29288287",my room,1.0,2013-04-30 07:21:27,4.0
u33,"43.70367694,-72.29573173",my room,1.0,2013-04-30 22:00:06,1.0
u33,"43.70096638,-72.28858467",my room,1.0,2013-05-11 03:59:53,1.0
u33,"43.70583433,-72.28880318",m210,4.0,2013-05-04 00:00:19,3.0
u33,Unknown,Novack,3.0,2013-05-30 02:20:42,4.0
u35,"43.70511029,-72.28334179",home,1.0,2013-04-25 20:03:58,1.0
u36,"43.70668768,-72.28688497",building,3.0,2013-04-29 22:00:49,2.0
u36,"43.65191693,-72.31010354",building,3.0,2013-04-26 00:54:54,2.0
u36,"43.70667592,-72.28706497",building,3.0,2013-04-29 04:31:16,2.0
u36,"43.70656221,-72.28696558",building,3.0,2013-04-30 22:10:05,2.0
u36,"43.70672903,-72.2860473",building,3.0,2013-05-01 22:31:04,2.0
u36,"42.04036843,-72.61585278",room,3.0,2013-05-05 09:08:47,1.0
u36,"43.70662501,-72.28688313",building,3.0,2013-05-10 04:32:20,2.0
u36,"43.706565,-72.28707625",building,3.0,2013-05-14 04:09:47,1.0
u36,"43.69722174,-72.28097189",building,3.0,2013-05-09 00:07:18,1.0
u36,"43.70688981,-72.28721935",building,3.0,2013-05-13 04:17:24,1.0
u39,"43.70691563,-72.28615388",lab,1.0,2013-04-25 20:32:14,1.0
u42,"43.67581451,-72.26991503",sudi,2.0,2013-04-30 23:06:16,2.0
u42,"43.65872062,-72.24871485",home,3.0,2013-04-28 22:55:59,2.0
u42,"43.70682003,-72.28641301",sudi105,2.0,2013-05-02 22:43:49,2.0
u42,"43.69336363,-72.27365248",sudi,2.0,2013-05-06 00:00:17,2.0
u42,"43.65817203,-72.25123965",home,2.0,2013-05-13 19:40:39,2.0
u42,"43.65817203,-72.25123965",home,2.0,2013-05-13 19:40:26,2.0
u43,Unknown,gf's room,1.0,2013-04-28 22:17:25,3.0
u43,"43.70399175,-72.29094324",room,2.0,2013-04-29 22:27:04,2.0
u43,"43.70614429,-72.2869262",cs help session,3.0,2013-05-13 04:04:11,2.0
u43,"43.70650947,-72.2871314",cs help session,4.0,2013-05-05 00:49:22,2.0
u43,"43.70577334,-72.29071236",cs help session.,3.0,2013-05-14 04:14:51,3.0
u44,"43.70973693,-72.28455604",sudikoff,3.0,2013-04-28 07:24:08,1.0
u44,"43.6920329,-72.26703169",sudikuff,3.0,2013-04-26 01:36:48,1.0
u44,"43.69149444,-72.26930575",sudikoff,3.0,2013-04-29 02:55:11,1.0
u44,"43.69224381,-72.26703204",sudikoff,3.0,2013-04-30 15:27:46,1.0
u44,"43.70760249,-72.286058",sudikoff,3.0,2013-05-01 22:48:52,1.0
u44,"43.69179181,-72.26669013",sudikoff,3.0,2013-05-03 15:34:19,1.0
u44,"43.69230186,-72.26682816",sudikoff,3.0,2013-05-08 16:27:50,1.0
u44,"43.69231606,-72.26691986",home,2.0,2013-05-12 04:31:52,1.0
u44,"43.69230057,-72.26685047",home,2.0,2013-05-10 04:47:00,1.0
u44,"43.69175278,-72.26719117",sudikoff master lab,3.0,2013-05-15 02:16:23,1.0
u44,"43.69209645,-72.26736409",sudikoff,3.0,2013-05-17 06:34:45,1.0
u44,"43.69227839,-72.26699842",home,3.0,2013-05-13 23:04:53,1.0
u44,"43.692126,-72.26679446",sudikoff,3.0,2013-05-19 01:48:05,1.0
u44,"43.69230186,-72.26692699",honr,1.0,2013-05-20 16:44:40,1.0
u44,"43.69216296,-72.26701332",sudikoff,3.0,2013-05-21 06:47:56,1.0
u44,"43.69476866,-72.27943547",sudikoff,3.0,2013-05-25 17:43:58,1.0
u45,"43.70865564,-72.28578202",sudikoFF,1.0,2013-05-13 05:01:35,1.0
u45,"43.71785226,-72.30689429",Dana library,2.0,2013-05-11 05:01:42,1.0
u46,Unknown,library,2.0,2013-04-26 00:00:23,2.0
u49,"43.70632507702557,-72.28852254781113",Kemeney,4.0,2013-04-26 01:18:40,1.0
u49,Unknown,novack 73,3.0,2013-05-01 22:08:51,2.0
u49,"43.70713433287341,-72.29021107759506",my dorm,3.0,2013-05-04 21:02:57,2.0
u49,"43.706975096465726,-72.2906530628659",my room,4.0,2013-05-14 04:03:50,1.0
u49,"43.70578575320415,-72.28875349174373",novack,3.0,2013-05-10 20:10:31,3.0
u49,"43.707187586279126,-72.29064016158995",my room,4.0,2013-05-05 00:15:15,2.0
u49,"43.707107369573706,-72.29070455586755",my room,1.0,2013-05-10 07:57:34,2.0
u49,"43.70377306642512,-72.28776140116048",berry near academic services,4.0,2013-05-13 19:09:10,2.0
u49,"43.707129377140696,-72.29066827277285",my room,2.0,2013-05-13 04:00:23,2.0
u49,"43.7071803391446,-72.29073719551904",my room,4.0,2013-05-18 06:33:18,2.0
u49,"43.70711360788952,-72.29041204811223",my room,4.0,2013-05-24 07:55:22,2.0
u49,"43.705398879706564,-72.29522355779832",Murdough 334,4.0,2013-05-27 00:59:39,3.0
u49,"43.707175423533876,-72.29072460503018",my room,2.0,2013-05-31 07:53:01,3.0
u50,"43.70643305,-72.2872299",lab147,1.0,2013-05-13 05:41:36,1.0
u51,"43.70632069,-72.2866932",sud,2.0,2013-04-26 00:10:11,1.0
u51,"43.70429267,-72.28766204",home,3.0,2013-04-30 23:52:01,1.0
