uid,resp_time,level,location
u03,2013-04-17 16:47:50,2.0,"43.70576695,-72.28327691"
u03,2013-04-21 17:20:08,2.0,"43.7054039,-72.28307553"
u03,2013-04-23 18:07:27,1.0,"43.70514059,-72.28261432"
u03,2013-04-30 05:34:42,5.0,"43.70544773,-72.2831871"
u03,2013-04-25 18:17:16,1.0,"43.70526733,-72.28318315"
u03,2013-04-26 18:08:14,1.0,"43.70532515,-72.28309713"
u03,2013-04-28 20:00:27,2.0,"43.70575204,-72.282746"
u03,2013-04-29 00:00:35,3.0,"43.70525765,-72.28314671"
u03,2013-04-29 04:00:06,3.0,"43.70532069,-72.28315218"
u03,2013-04-29 20:18:19,4.0,"43.70530578,-72.28310068"
u03,2013-05-12 19:35:12,1.0,"43.70579533,-72.28356911"
u04,2013-04-02 02:53:26,3.0,"43.7058173,-72.29660835"
u04,2013-03-27 04:41:45,1.0,"43.70200674,-72.28525688"
u04,2013-03-30 22:35:27,1.0,"43.70315377,-72.28626052"
u04,2013-04-03 15:45:55,2.0,"43.70406845,-72.28722573"
u04,2013-03-27 22:27:32,4.0,"43.70224001,-72.28841753"
u04,2013-03-28 02:22:29,1.0,"43.70406072,-72.28534671"
u04,2013-03-29 16:03:47,2.0,"43.70326123,-72.28745298"
u04,2013-03-29 15:10:22,1.0,"43.70313779,-72.28452113"
u04,2013-03-29 23:01:33,1.0,"43.70414142,-72.28932127"
u04,2013-04-02 17:23:58,1.0,"43.7058173,-72.29660835"
u04,2013-04-03 00:17:54,2.0,"43.70373286,-72.28814449"
u04,2013-03-31 20:36:25,1.0,Unknown
u04,2013-03-31 19:33:19,1.0,"43.70315377,-72.28626052"
u04,2013-03-31 23:55:59,1.0,Unknown
u04,2013-04-04 15:38:21,1.0,"43.70500049,-72.28555637"
u04,2013-04-07 00:22:24,1.0,"43.70419632,-72.28592597"
u04,2013-04-07 16:49:49,1.0,"43.70400146,-72.28561947"
u04,2013-04-05 15:25:14,2.0,"43.7030204,-72.28507159"
u04,2013-04-06 01:58:57,1.0,"43.70472132,-72.28861869"
u04,2013-04-08 02:03:08,1.0,Unknown
u04,2013-04-16 08:05:32,2.0,"43.70596983,-72.29501146"
u04,2013-04-09 15:17:58,1.0,"43.70449075,-72.28617485"
u04,2013-04-11 23:06:40,3.0,"43.70417131,-72.28591047"
u04,2013-04-15 02:01:42,2.0,"43.70414785,-72.28568415"
u04,2013-04-16 04:01:25,3.0,"43.70596983,-72.29501146"
u04,2013-04-15 23:03:57,3.0,"43.70414785,-72.28568415"
u04,2013-04-17 08:16:42,1.0,"43.70546416,-72.29837819"
u04,2013-04-18 09:02:30,1.0,"43.70404253,-72.28545089"
u04,2013-04-22 07:08:53,1.0,"43.70623282,-72.28816572"
u04,2013-04-26 08:37:34,3.0,"43.70415952,-72.28581184"
u04,2013-04-22 05:44:15,1.0,"43.702712149999996,-72.28760414"
u04,2013-04-22 05:44:15,1.0,"40.85177617,-74.01394775"
u04,2013-04-25 04:05:09,3.0,"43.704368529999996,-72.28622805"
u04,2013-04-26 18:17:32,3.0,"43.70403989,-72.28593925"
u04,2013-04-30 01:47:44,3.0,"43.70514579,-72.29019144"
u04,2013-04-28 21:14:10,3.0,"43.70414602,-72.29169963"
u04,2013-04-29 15:53:58,3.0,"43.70427846,-72.28612238"
u04,2013-04-30 05:49:02,3.0,"43.70344161,-72.28587472"
u04,2013-04-29 21:54:49,3.0,"43.70427846,-72.28612238"
u04,2013-05-08 04:47:44,1.0,"43.70414535,-72.2880891"
u04,2013-05-07 04:03:18,2.0,"43.70295827,-72.28971993"
u04,2013-05-07 18:01:43,2.0,"43.70411079,-72.28591883"
u04,2013-05-09 05:57:20,3.0,"43.70386255,-72.2897578"
u05,2013-03-27 20:11:23,4.0,"43.70751491,-72.28694759"
u05,2013-03-27 23:12:02,5.0,"43.70751491,-72.28694759"
u05,2013-03-27 18:35:01,4.0,"43.70751491,-72.28694759"
u05,2013-03-28 20:08:03,4.0,"43.70751491,-72.28694759"
u05,2013-03-28 22:03:36,1.0,"43.70751491,-72.28694759"
u05,2013-03-30 01:03:00,4.0,"43.70751491,-72.28694759"
u05,2013-03-30 22:03:22,4.0,"43.70486983,-72.29032605"
u05,2013-03-31 07:09:07,1.0,"42.69942036,-71.43609676"
u07,2013-03-31 12:10:08,4.0,"43.7034298,-72.2850223"
u07,2013-04-03 06:38:59,4.0,"43.70393655,-72.28393844"
u07,2013-03-30 10:01:36,4.0,"43.7038505,-72.28368719"
u07,2013-03-31 02:07:52,5.0,"43.70297942,-72.28462672"
