uid,breakfast,dinner,location,lunch,resp_time
u19,5.0,7.0,"43.70299561,-72.28996129",5.0,2013-04-24 07:52:29
u19,1.0,1.0,"43.70445438,-72.28941379",1.0,2013-04-26 07:15:15
u19,8.0,5.0,"43.70101204,-72.28677708",5.0,2013-05-01 09:27:40
u19,5.0,7.0,"43.70691192,-72.28587513",7.0,2013-05-05 07:53:14
u19,5.0,2.0,"43.70690988,-72.28699822",4.0,2013-05-03 18:49:44
u19,4.0,5.0,"43.70670191,-72.28568105",5.0,2013-05-13 20:11:36
u19,5.0,3.0,"43.70701211,-72.28611727",8.0,2013-05-11 20:02:34
u19,4.0,2.0,"43.70701211,-72.28611727",5.0,2013-05-12 09:05:44
u19,5.0,8.0,"43.70706627,-72.28596306",8.0,2013-05-06 07:30:52
u19,5.0,3.0,"43.70705362,-72.28594706",8.0,2013-05-04 02:48:50
u19,5.0,5.0,"43.70714135,-72.28594665",2.0,2013-05-17 07:25:22
u19,5.0,5.0,"43.70639951,-72.28840249",5.0,2013-05-08 20:31:05
u19,5.0,1.0,"43.70680418,-72.28601166",2.0,2013-05-10 20:27:51
u19,5.0,3.0,"43.70650157,-72.28532126",5.0,2013-05-14 08:14:47
u19,4.0,3.0,"43.70669977,-72.28545979",4.0,2013-05-19 21:53:38
u19,5.0,2.0,"43.70161344,-72.28714129",1.0,2013-05-17 22:36:01
u19,5.0,3.0,"43.70712264,-72.28701115",5.0,2013-05-21 09:11:21
u19,5.0,1.0,"43.7040776,-72.29042456",4.0,2013-05-22 08:09:46
u19,5.0,1.0,"43.70667412,-72.28542869",5.0,2013-05-23 07:46:14
u19,8.0,2.0,"43.70709334,-72.28524117",4.0,2013-05-26 09:51:41
u19,5.0,8.0,Unknown,4.0,2013-05-24 08:14:42
u19,5.0,8.0,"43.70744109,-72.28667853",5.0,2013-05-25 08:22:41
u19,8.0,8.0,"43.70696465,-72.28583899",1.0,2013-05-31 07:11:33
u19,5.0,7.0,"43.70689977,-72.28714289",8.0,2013-05-29 18:33:15
u19,4.0,3.0,"43.70717259,-72.2867125",8.0,2013-06-01 07:06:32
u22,1.0,7.0,"43.70623613,-72.28845776",3.0,2013-04-23 21:00:38
u22,1.0,3.0,"43.70418092,-72.29045018",3.0,2013-04-23 00:05:48
u22,1.0,8.0,Unknown,3.0,2013-05-11 20:40:52
u23,1.0,1.0,"43.70530856,-72.28322466",1.0,2013-04-24 20:05:10
u24,1.0,3.0,"43.70636729,-72.29144404",3.0,2013-05-18 03:33:18
u27,8.0,2.0,"43.70417765,-72.28574551",2.0,2013-05-10 20:54:59
u30,1.0,3.0,"41.23064284,-73.0728831",3.0,2013-04-25 19:57:19
u30,1.0,3.0,"41.23064284,-73.0728831",1.0,2013-04-25 04:03:30
u30,1.0,2.0,"41.23064284,-73.0728831",1.0,2013-04-23 09:48:57
u32,8.0,1.0,Unknown,3.0,2013-04-23 20:02:34
u32,8.0,3.0,"43.7031993,-72.2904444",3.0,2013-04-22 18:13:54
u32,3.0,3.0,"43.70420319,-72.28854729",8.0,2013-05-05 21:17:49
u33,8.0,8.0,"43.70410502,-72.29484537",8.0,2013-04-22 10:19:14
u33,8.0,2.0,"43.70377459,-72.29617515",8.0,2013-04-22 20:40:24
u33,8.0,2.0,"43.7034689,-72.29640505",8.0,2013-04-24 21:10:35
u33,8.0,2.0,"43.70583433,-72.28880318",2.0,2013-05-04 20:21:22
u33,7.0,2.0,"43.70416591,-72.29582511",7.0,2013-05-13 20:28:33
u35,8.0,7.0,"43.70543729,-72.28305569",8.0,2013-04-23 17:14:47
u35,8.0,7.0,"43.70533684,-72.28312499",8.0,2013-05-04 21:52:17
u36,7.0,7.0,"37.33932807,-122.03905765",7.0,2013-04-25 02:49:18
u36,7.0,7.0,"43.65166823,-72.30992951",7.0,2013-05-05 21:09:42
u36,8.0,8.0,"43.70655165,-72.28703441",8.0,2013-05-10 01:17:41
u36,7.0,7.0,"43.65172278,-72.30983724",7.0,2013-05-03 21:41:57
u36,8.0,8.0,"43.70673436,-72.28690084",8.0,2013-05-14 20:50:20
u42,7.0,7.0,"43.68142273,-72.27279919",3.0,2013-05-08 19:55:39
u42,7.0,7.0,"43.67235155,-72.26452427",7.0,2013-05-13 19:40:28
u42,7.0,7.0,"43.67235155,-72.26452427",7.0,2013-05-13 19:40:41
u43,8.0,3.0,"43.70565832,-72.29151421",3.0,2013-04-23 22:11:51
u44,7.0,7.0,"43.6921374,-72.2672054",8.0,2013-04-23 20:49:14
u44,7.0,7.0,"43.70957133,-72.28436521",7.0,2013-04-22 20:40:40
u44,1.0,1.0,"43.69230186,-72.26682816",1.0,2013-05-09 20:37:22
u45,7.0,7.0,"43.70574695,-72.28287989",8.0,2013-05-14 20:15:41
u46,1.0,7.0,"43.70578178,-72.28774369",4.0,2013-04-25 05:51:44
u49,5.0,5.0,"43.70383361977115,-72.28747730662586",5.0,2013-04-24 20:28:19
u49,5.0,2.0,"43.70328375766367,-72.29034840992854",1.0,2013-04-23 08:06:42
u49,1.0,1.0,"43.7016336903423,-72.28826016831852",1.0,2013-05-02 04:58:44
u49,7.0,7.0,Unknown,7.0,2013-05-12 18:12:39
u49,5.0,3.0,"43.70712959464686,-72.29081463337982",8.0,2013-05-10 07:55:30
u49,1.0,2.0,"43.70578575320415,-72.28875349174373",7.0,2013-05-10 20:07:35
u49,5.0,3.0,"43.7059528775494,-72.28796572137354",8.0,2013-05-14 20:33:18
