uid,location,negative,nevent,pevent,positive,resp_time
u17,"43.70237732,-72.28914013",1.0,-,-,6.0,2013-04-19 02:36:09
u17,Unknown,1.0,--,--,5.0,2013-04-20 19:45:28
u17,Unknown,1.0,--,--,5.0,2013-04-21 22:09:57
u17,"43.70639878,-72.28903471",7.0,,,2.0,2013-04-23 00:05:19
u17,"43.70366438,-72.2901632",7.0,,,2.0,2013-04-28 04:02:17
u17,"43.7060191,-72.28758328",7.0,,,4.0,2013-04-26 07:26:49
u17,Unknown,7.0,...,...,3.0,2013-04-29 04:32:30
u17,"43.70426646,-72.29095652",7.0,,,1.0,2013-05-01 07:04:15
u17,"43.70441582,-72.29136839",7.0,,,1.0,2013-05-04 06:41:14
u17,"43.70551279,-72.29153409",7.0,,,1.0,2013-05-20 20:40:42
u17,"43.70465377,-72.29113067",7.0,,,1.0,2013-05-22 19:15:08
u18,"43.70264346,-72.28707",5.0,,,4.0,2013-04-19 03:25:15
u18,"43.70738477,-72.28920103",3.0,,,4.0,2013-04-21 16:07:09
u18,"43.70728871,-72.28933649",1.0,,,1.0,2013-04-23 00:43:50
u18,"43.70661507,-72.28695128",1.0,,,1.0,2013-04-26 06:33:11
u18,"43.70729947,-72.28943574",1.0,,,1.0,2013-05-04 15:48:49
u19,"43.70734975,-72.28629956",2.0,awkward social hangout,frisbee,5.0,2013-04-19 08:42:54
u19,"43.70705944,-72.28563764",2.0,working all night,winning sectionals,7.0,2013-04-23 07:44:38
u19,"43.70708146,-72.2859818",5.0,lost some posters,great presentation,5.0,2013-04-27 04:12:08
u19,"43.70271409,-72.28974807",6.0,unreliable group members,cool Frisbee catch,6.0,2013-04-26 06:02:41
u19,"43.70101204,-72.28677708",5.0,,finishing myruns,5.0,2013-05-01 09:26:28
u19,"43.70653469,-72.28534817",5.0,seg faults everywhere,"finished crawler!!""",5.0,2013-05-02 08:30:05
u19,"43.70706627,-72.28596306",7.0,losing to Middlebury,playing Frisbee with my teammates,7.0,2013-05-06 07:31:32
u19,"43.70680418,-72.28601166",5.0,lab3 grade...,finishing indexer,7.0,2013-05-10 20:32:06
u19,"43.70701211,-72.28611727",3.0,frustrating lab,alpha theta formal,6.0,2013-05-12 09:06:07
u19,"43.70705362,-72.28594706",4.0,lonely soul,understanding fft,6.0,2013-05-04 02:49:46
u19,"43.70650157,-72.28532126",5.0,cs50,crawler works,5.0,2013-05-14 08:15:07
u19,"43.70754131,-72.28597491",4.0,general loneliness,star trek!!!,6.0,2013-05-20 08:28:27
u19,"43.70708213,-72.2859049",3.0,being ignored,talking to my sister,7.0,2013-05-20 20:39:55
u19,"43.70712264,-72.28701115",4.0,puppy Pox,frisbeeee,6.0,2013-05-21 09:11:58
u19,"43.7066368,-72.2855942",6.0,nothing works,uhhh dunno,4.0,2013-05-23 08:01:49
u19,"43.7040776,-72.29042456",3.0,terrible 65 meeting,puppy pox looks better,6.0,2013-05-22 08:10:22
u19,"43.70707614,-72.28631854",7.0,nothing works,,4.0,2013-05-23 19:12:03
u19,"43.70708177,-72.28667013",3.0,waiting for images,fixed a bug,5.0,2013-05-24 23:02:09
u19,"43.70744109,-72.28667853",7.0,service isn't working...,level 3 solved,5.0,2013-05-25 08:23:05
u19,"43.70696465,-72.28583899",5.0,that all nighter finishing 65,Frisbee banquet,7.0,2013-05-31 07:12:04
u19,"43.70709334,-72.28524117",3.0,bugs on bugs on bugs,pain train in the quarter finals!!!,5.0,2013-05-26 09:52:12
u19,"43.70689977,-72.28714289",7.0,4am til 7am,magical server and group members,7.0,2013-05-29 18:33:58
u22,"43.70418092,-72.29045018",6.0,,,5.0,2013-04-23 00:01:14
u22,"43.70425863,-72.29045989",6.0,,,4.0,2013-04-25 00:55:37
u22,"43.70542525,-72.28957061",1.0,,,1.0,2013-05-20 20:20:48
u23,"43.70517539,-72.28312371",1.0,,,1.0,2013-04-22 23:59:52
u23,"43.70542744,-72.28305576",1.0,,,1.0,2013-05-01 07:00:42
u27,"43.70424431,-72.28559775",3.0,?,djs meeting,3.0,2013-04-18 20:28:00
u27,"43.70375531,-72.28604079",4.0,,,3.0,2013-04-19 17:02:28
u27,"43.69949922,-72.28974367",6.0,,,1.0,2013-04-24 02:30:04
u27,"43.70552478,-72.28974476",1.0,,,1.0,2013-04-28 04:18:24
u27,"43.70396926,-72.28577776",1.0,,,1.0,2013-04-26 06:01:20
